Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Close
10847475292902.596,954492151805.5953,-27699389550589.42,-9568103043205.24,14184656302292.305,20889619263660.88,3689943304023.162,851337355477.0345,-8004460503911.227,-22721325686454.547,897.4691176470589
11752300657136.434,1034109622320.7623,-30009891390009.133,-10366211546865.71,15367847376525.82,22632094613854.164,3997734226044.5894,922350376078.6815,-8672140278897.31,-24616589910523.863,907.4220588235294
9961184799228.564,876505588335.9978,-25436217247855.68,-8786343367381.945,13025702204495.95,19182837685645.668,3388457327441.3525,781779030450.3601,-7350457879357.732,-20864884964300.586,923.404411764706
8755228173731.607,770390923625.9945,-22356766841423.18,-7722619595870.674,11448737979622.15,16860456301544.586,2978231772833.74,687132505358.1383,-6460570440641.877,-18338865534377.625,939.5720588235296
11683817569000.54,1028083684920.5283,-29835017255987.95,-10305805495363.604,15278295904744.438,22500212523321.41,3974438576814.991,916975578400.679,-8621605735387.478,-24473143912892.37,940.9073529411766
9837259866575.717,865601156799.8568,-25119770832516.496,-8677034363555.947,12863652197119.598,18944188197017.473,3346302271235.1543,772053108213.0098,-7259012488994.293,-20605309413808.434,951.2279411764706
9205877828556.98,810044534280.3782,-23507515877132.676,-8120118773742.744,12038028145985.92,17728298852257.86,3131527515073.9756,722500648681.3511,-6793109368341.143,-19282804858009.867,976.9205882352942
8447954068646.95,743353221565.2899,-21572132168656.71,-7451585982902.283,11046932227243.277,16268720533833.875,2873707540747.4956,663016861506.1987,-6233829824030.512,-17695243377717.062,1017.0220588235294
10695472046132.314,941117063664.2168,-27311244230444.77,-9434027354362.256,13985889872664.092,20596897720255.914,3638236955770.017,839407762671.7622,-7892295805894.579,-22402936839199.52,1054.6279411764706
12120156972197.043,1066478099555.1224,-30949224608754.12,-10690682194033.047,15848873295703.44,23340496998271.613,4122866459042.1787,951220626824.0723,-8943585012238.088,-25387108696282.57,1043.110294117647
10066710597983.117,885791039395.5125,-25705680857843.582,-8879423263808.172,13163692650340.479,19386054880807.125,3424353621981.848,790060943561.0262,-7428326369097.856,-21085921331421.895,1062.9426470588237
9707025912208.584,854141625225.5833,-24787214021818.23,-8562160482263.655,12693352444877.521,18693388983908.227,3302001086658.3223,761831979237.2762,-7162911445549.249,-20332519012007.797,1106.3764705882354
8280340845327.569,728604607896.3309,-21144126157013.832,-7303741414822.036,10827753620546.592,15945937875770.586,2816691197001.5317,649862115470.1138,-6110146251276.872,-17344157654110.422,1120.9382352941177
11226633048001.47,987855088859.6901,-28667581354316.35,-9902542243958.07,14680460617160.293,21619785477816.754,3818919899202.376,881094545984.6683,-8284244609510.693,-23515516775371.5,1165.739705882353
9788023762364.193,861268799240.6163,-24994044674213.46,-8633605285976.238,12799268960425.654,18849371256802.62,3329553804753.9927,768188885716.9819,-7222680543726.069,-20502178606961.2,1128.2044117647058
