Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Close
10342661879548.502,910072558475.16,-26410331681427.285,-9122828301743.1,13524539125542.43,19917470471484.703,3518222896823.36,811718319274.6287,-7631953637573.278,-21663934020099.34,6385812343526.306,897.4691176470589
11205379014145.982,985984838061.7357,-28613308747697.11,-9883794902142.137,14652667550753.393,21578855530576.617,3811690026280.199,879426577767.6254,-8268561324618.424,-23470997554485.008,6918475107637.084,907.4220588235294
9497617050626.3,835715287743.0719,-24252481557753.863,-8377449697064.828,12419519750640.729,18290118088833.645,3230767296970.433,745397058591.109,-7008386601793.092,-19893887242373.46,5864060993494.0205,923.404411764706
8347782523962.097,734538924771.744,-21316340799783.34,-7363228875637.605,10915943357644.885,16075814321132.867,2839632577499.549,655155137713.5813,-6159912220337.944,-17485422216234.438,5154125061670.313,939.5720588235296
11140082951612.395,980239332185.4767,-28446572803081.188,-9826199991870.83,14567283572597.963,21453110891062.13,3789478496247.589,874301909256.8859,-8220378527917.194,-23334227162166.36,6878159498469.674,940.9073529411766
9379459263467.035,825318320216.3715,-23950761739227.08,-8273227651249.036,12265011131020.402,18062574729484.07,3190574027930.277,736123755591.8838,-6921196843122.592,-19646391665896.363,5791107569429.93,951.2279411764706
8777460110694.53,772347159059.2094,-22413536954942.78,-7742229470994.501,11477809485483.05,16903269726593.438,2985794332816.249,688877339223.3408,-6476975647367.037,-18385433047835.574,5419418541071.731,976.9205882352942
8054808160119.957,708759487357.6938,-20568220993075.56,-7104808465244.174,10532836604607.955,15511616403902.188,2739972632535.6904,632161773485.1864,-5943723524936.528,-16871752568249.031,4973235557297.203,1017.0220588235294
10197732470309.168,897319912304.4932,-26040249639478.613,-8994992148303.982,13335022770894.014,19638371430781.84,3468922828137.4824,800343898829.8678,-7525008794180.376,-21360362165408.64,6296329401959.433,1054.6279411764706
11556116248774.012,1016846970175.5458,-29508927830606.105,-10193165525524.496,15111307769146.727,22254290702251.027,3930998929152.162,906953281795.4952,-8527373722906.603,-24205658391016.88,7135028697270.451,1043.110294117647
9598231951939.025,844568617952.5897,-24509405029040.4,-8466197896118.087,12551088478426.807,18483878081911.52,3264993070907.3354,753293552909.5118,-7082631293641.3545,-20104637149286.387,5926183018965.271,1062.9426470588237
9255286060128.455,814392085570.0231,-23633681261427.457,-8163699702955.395,12102636688299.791,17823447062372.168,3148334505777.004,726378291493.6675,-6829568093410.276,-19386296223074.188,5714439846668.566,1106.3764705882354
7894995222222.062,694697235981.1052,-20160133273001.85,-6963844200556.485,10323858002759.688,15203855214981.586,2685609681798.347,619619215268.7528,-5825795865411.697,-16537005465171.885,4874563000120.825,1120.9382352941177
10704174614457.617,941882870823.5948,-27333466345495.13,-9441703568038.12,13997269991355.598,20613656640613.414,3641197255215.013,840090687184.7113,-7898717315327.908,-22421165512093.87,6609018878536.728,1165.739705882353
9332514480061.145,821187579360.4006,-23830886550795.574,-8231819650491.337,12203624123458.184,17972170324162.47,3174604991713.256,732439364005.3999,-6886555692514.822,-19548060299768.816,5762122535952.7,1128.2044117647058
10029073702717.588,882479305766.2972,-25609573723006.957,-8846225349299.402,13114476992812.947,19313575258617.0,3411550819766.8965,787107079618.2373,-7400553661726.37,-21007086407999.863,6192195156048.241,1081.4485294117646
8635216613162.975,759830875063.889,-22050313310553.027,-7616762457365.192,11291805461272.373,16629342991128.031,2937407905445.6973,677713670549.8772,-6372012644911.911,-18087487151410.613,5331593792569.173,1074.4147058823528
5888876004417.195,518174582851.78925,-15037440832760.498,-5194330538498.648,7700564461673.848,11340553676050.02,2003195929046.1814,462173876548.3509,-4345460383715.9927,-12334950300127.832,3635935910390.068,1036.125
6682911179041.825,588043398920.488,-17065036506061.957,-5894715705665.841,8738881256456.684,12869674037386.29,2273299802772.0176,524491829083.81384,-4931387029890.865,-13998151531179.709,4126192782384.633,1036.654411764706
12241194684868.104,1077128461921.5271,-31258298436754.637,-10797444483295.463,16007147752606.867,23573586418727.55,4164039385451.4243,960719973715.515,-9032899954964.143,-25640636554290.145,7558012881468.074,999.6691176470588
10286822878509.055,905159161999.6252,-26267744941469.25,-9073575054824.521,13451521459798.385,19809938039636.504,3499228363186.3213,807335939704.6927,-7590749498788.1455,-21546972580215.117,6351336007385.575,1038.7911764705882
8538915096960.002,751357059657.4579,-21804404066565.36,-7531818858177.649,11165876955528.592,16443889447544.588,2904649392848.5947,670155713790.6527,-6300950886731.96,-17885771905292.77,5272135070286.477,1064.8617647058825
9256103425681.387,814464002508.0348,-23635768651521.7,-8164420687824.176,12103705501633.06,17825021254491.64,3148612561704.0264,726442473120.2223,-6830171316328.67,-19388008418400.863,5714944581807.278,1048.0
8958872735854.604,788310028069.1508,-22876780035768.49,-7902245915055.062,11715032900971.047,17252626593262.627,3047504751401.466,703115058869.3905,-6610841835964.259,-18765423229079.934,5531427157298.867,1063.6808823529411
7755258216522.906,682401449832.9426,-19803310303470.63,-6840588020168.2,10141131321372.129,14934755558556.918,2638075903888.271,608652352116.1437,-5722682670359.925,-16244309636000.633,4788286152095.954,1064.8808823529412
9926543346477.45,873457435684.2052,-25347759077937.992,-8755787614970.058,12980403554531.73,19116126563447.152,3376673472514.7,779060250721.096,-7324895522488.157,-20792324380152.086,6128890457294.011,1009.895588235294
6588665579230.33,579750524163.8187,-16824377056423.078,-5811585584868.688,8615641344576.494,12688179649615.418,2241240634230.6753,517095180666.1519,-4861842226568.865,-13800742780889.578,4068003237331.9116,979.154411764706
6141264215619.31,540382735803.7742,-15681922786313.732,-5416951604352.468,8030598793011.562,11826592618449.793,2089049860783.9126,481981991542.85693,-4531700294333.878,-12863607479820.482,3791766704408.4253,967.129411764706
8321367666900.591,732214613353.8862,-21248889619575.68,-7339929425960.038,10881402016222.078,16024945708239.824,2830647143049.172,653082050715.2076,-6140420482332.543,-17430093125283.113,5137815954942.303,927.6691176470588
8960014468197.252,788410492132.5297,-22879695493239.18,-7903252990718.702,11716525885834.264,17254825298012.596,3047893130465.508,703204665043.2526,-6611684331940.004,-18767814729715.914,5532132089351.847,904.7220588235294
7515319818742.037,661288786563.9515,-19190619509092.16,-6628948436319.482,9827376968005.72,14472692045819.758,2556456986165.447,589821343809.8837,-5545629632887.276,-15741730188564.348,4640142188793.854,910.6985294117648
7031077777805.173,618679272082.2256,-17954091467542.934,-6201818805470.267,9194159671594.975,13540158849708.848,2391734277325.038,551816860133.0463,-5188302747083.414,-14727427618456.795,4341159538002.6924,871.8838235294118
6064233770981.476,533604650420.2627,-15485223015069.06,-5349006264593.955,7929870177184.269,11678250599516.857,2062846719801.4583,475936466831.8367,-4474858813526.448,-12702258016771.125,3744206305780.211,886.4823529411765
9630767724226.758,847431496720.0283,-24592486236011.87,-8494896323706.409,12593633695449.852,18546534143952.402,3276060640202.2715,755847058404.5186,-7106639804791.04,-20172787160135.445,5946271457183.762,1042.785
6934806770784.876,610208223538.7136,-17708260095396.098,-6116902221580.678,9068271493994.766,13354764019538.664,2358986127794.2383,544261206141.6657,-5117263236159.354,-14525776657936.982,4281719216622.391,1035.4083333333333
7491723438630.033,659212506278.7273,-19130365318288.234,-6608135072633.927,9796521343322.652,14427251075823.686,2548430291133.974,587969417596.6697,-5528217561846.598,-15692304816066.668,4625573108404.023,1071.3
6725857013915.685,591822294887.1154,-17174699920936.902,-5932596402280.949,8795039206500.86,12952377213565.713,2287908504285.834,527862298663.63043,-4963077117832.262,-14088106563126.357,4152708524756.239,1062.71
