Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Close
9902344849837.854,871328137509.2833,-25285967476634.52,-8734443115495.562,12948760378705.53,19069526147335.875,3368441972547.7153,777161122735.9437,-7307039297752.249,-20741637691487.85,6113949842737.115,-994856479158.9669,897.4691176470589
10728333620827.355,944008611797.0491,-27395157437646.773,-9463013166814.79,14028861114032.97,20660181239331.836,3649415357525.131,841986844836.1123,-7916544754335.333,-22471769304746.668,6623935612389.193,-1077840810879.5245,907.4220588235294
9093276023358.426,800136470851.6053,-23219983273754.21,-8020797433834.99,11890784874578.676,17511454862313.88,3093224188972.1636,713663349936.9673,-6710019314193.03,-19046946924496.34,5614410956707.74,-913571961020.0586,923.404411764706
7992393278095.935,703267478278.6614,-20408842519884.992,-7049754926149.666,10451220077341.957,15391420410310.162,2718741205766.0684,627263288632.8197,-5897666941151.08,-16741017220387.762,4934699050809.468,-802969826457.1687,939.5720588235296
10665817400527.95,938507708723.3452,-27235519924434.137,-9407870238452.244,13947112178778.887,20539789912805.617,3628149436567.1665,837080348285.6648,-7870413238646.064,-22340821623602.33,6585336355306.605,-1071560184175.9646,940.9073529411766
8980148554939.639,790182132303.0798,-22931108540549.344,-7921012421945.127,11742854133772.162,17293598681882.654,3054742063643.775,704784838267.0709,-6626541475723.161,-18809987950527.38,5544563370905.136,-902206364239.9927,951.2279411764706
8403778247228.893,739466106681.8833,-21459327861360.67,-7412620370000.151,10989165939064.305,16183648645957.625,2858680432423.5264,659549838491.4852,-6201232061066.859,-17602711987837.01,5188698219499.383,-844300295600.6781,976.9205882352942
7711891680275.803,678585546075.7418,-19692572337093.527,-6802336220041.478,10084423286819.885,14851242030213.84,2623324072900.1655,605248818422.0397,-5690682023783.288,-16153473264199.24,4761510535814.041,-774788726796.0735,1017.0220588235294
9763585504721.006,859118408369.8619,-24931640897579.03,-8612049316841.652,12767312283401.969,18802309160018.156,3321240750373.6064,766270944267.1118,-7204647405653.128,-20450989768655.11,6028276448799.215,-980915759782.5471,1054.6279411764706
11064138956959.725,973556853685.9681,-28252647425847.715,-9759212987984.535,14467975691830.037,21306861182224.973,3763644935331.4175,868341657459.5803,-8164338760279.867,-23175153504649.23,6831269889386.122,-1111578191495.1184,1043.110294117647
9189607457319.455,808612889188.1156,-23465968769782.797,-8105767365373.136,12016752341094.08,17696965932085.316,3125992872723.295,721223667653.65,-6781103194775.574,-19248724598331.9,5673888267882.645,-923250111499.9697,1062.9426470588237
