Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Close
9513865194875.092,837144996106.7196,-24293971735253.777,-8391781503599.145,12440766561039.459,18321408095464.37,3236294365581.79,746672254756.7723,-7020376275181.728,-19927920902591.754,5874093004646.382,-955827187852.527,-902857742469.4424,897.4691176470589
10307449536648.78,906974137098.988,-26320415902140.473,-9091768967011.693,13478493781068.46,19849660074796.22,3506244862010.5874,808954793950.6619,-7605970176162.385,-21590177589017.465,6364071483213.904,-1035555954851.498,-978168203969.4204,907.4220588235294
8736537009962.693,768746255217.5128,-22309038318067.594,-7706132910747.464,11424296575558.424,16824461625260.629,2971873672112.1035,685665567982.5625,-6446778028669.241,-18299714679858.492,5394151567203.9795,-877731548917.4102,-829089961798.9991,923.404411764706
7678843080634.142,675677537567.5276,-19608181644047.68,-6773185446615.984,10041207455972.564,14787598408445.418,2612082059718.8223,602655074150.8854,-5666295114262.908,-16084249081919.18,4741105491539.015,-771468455230.666,-728715704273.3612,939.5720588235296
10247385895012.283,901689040378.2704,-26167041140527.824,-9038789355127.096,13399951944601.854,19733991829691.492,3485813226038.805,804240784545.017,-7561648449525.066,-21464367126457.26,6326986516564.607,-1029521723898.8182,-972468247736.9037,940.9073529411766
8627847653987.432,759182436092.7556,-22031496451813.395,-7610262572359.409,11282169317060.23,16615152177455.748,2934901242012.118,677135369889.1377,-6366575115722.325,-18072051861683.305,5327044177430.099,-866811836741.7001,-818775416322.7627,951.2279411764706
8074088974296.682,710456054786.4335,-20617455314026.523,-7121815288236.636,10558049122080.68,15548746677044.355,2746531319776.2446,633674987880.5095,-5957951047533.309,-16912138635450.096,4985139999241.073,-811177485549.7556,-766224205745.8192,976.9205882352942
7409345862644.253,651963904151.5522,-18920011512071.504,-6535473242860.299,9688800498644.98,14268611808063.938,2520408243755.6724,581504255319.7896,-5467430438161.288,-15519755108016.354,4574711348540.242,-744392930465.0958,-703140639234.1595,1017.0220588235294
9380549528334.508,825414267793.3855,-23953545769564.42,-8274189345505.291,12266436869965.01,18064674318397.113,3190944898197.2876,736209309719.8407,-6922001327303.076,-19648675410848.812,5791780670237.431,-942433377913.7616,-890206197150.1746,1054.6279411764706
10630080867725.422,935363169630.1404,-27144265634442.254,-9376348550139.549,13900381420977.729,20470970066945.76,3615993090434.9185,834275678886.3116,-7844042956337.572,-22265967269093.85,6563271813190.088,-1067969781684.6658,-1008785669992.4725,1043.110294117647
8829089258004.154,776890134532.1428,-22545373538118.906,-7787769380344.352,11545322202674.121,17002694895938.068,3003356805102.252,692929286291.4763,-6515073212047.1455,-18493576398200.73,5451295519394.349,-887030015128.986,-837873107183.3828,1062.9426470588237
8513624919923.672,749131762028.0371,-21739824834115.32,-7509511513563.079,11132806553670.318,16395186716362.39,2896046532814.2065,668170846754.5992,-6282288924905.075,-17832798852194.074,5256520129787.007,-855336334055.3885,-807935807686.4503,1106.3764705882354
7262339340990.091,639028514259.5309,-18544625407248.492,-6405804978814.535,9496568143981.11,13985512689316.29,2470401602241.709,569966779816.8939,-5358952768821.165,-15211832558662.94,4483945797239.959,-729623740898.3237,-689189875429.3367,1120.9382352941177
9846408544567.008,866406227597.6492,-25143132120939.82,-8685104086590.048,12875615711401.457,18961806229016.832,3349414322686.6353,772771037323.5392,-7265763168672.385,-20624472565988.55,6079413154278.6,-989236898842.6531,-934415876714.1583,1165.739705882353
8584664733949.274,755382707152.9186,-21921227316437.055,-7572172751597.017,11225701483008.863,16531992219674.16,2920211865173.721,673746222560.6099,-6334709891767.805,-17981600160500.34,5300381824509.466,-862473498476.1472,-814677427395.5653,1128.2044117647058
9225406026836.795,811762895288.0374,-23557381546107.324,-8137343793781.191,12063564260727.812,17765905294158.004,3138170326239.5293,724033206985.8425,-6807519256172.135,-19323708978440.285,5695991096014.948,-926846736810.816,-875483248673.0255,1081.4485294117646
7943243987181.832,698942748051.7606,-20283338156513.266,-7006402421802.978,10386950305097.797,15296770728798.059,2702022280166.692,623405906276.9038,-5861399128168.91,-16638068272620.34,4904352980603.31,-798032008056.3492,-753807149878.6388,1074.4147058823528
5416978057277.997,476651290168.42267,-13832433722085.377,-4778089151170.856,7083489053981.239,10431792140718.71,1842672249157.9607,425138132647.3181,-3997242178253.33,-11346503995548.115,3344574589357.7075,-544226331798.5657,-514066652871.40894,1036.125
