Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Close
9167789896859.09,806693103203.4761,-23410256932063.273,-8086522996645.775,11988222625744.014,17654950600341.773,3118571283102.176,719511388190.7394,-6765003851686.939,-19203025076979.395,5660417653407.249,-921058124794.324,-870015490041.9563,12938151631289.969,897.4691176470589
9932506903227.598,873982147160.0917,-25362987392206.902,-8761047794249.432,12988201596289.27,19127611056317.195,3378702090415.399,779528344693.3451,-7329296254312.606,-20804815699786.316,6132572729549.12,-997886687067.4089,-942586466603.5347,14017367716721.988,907.4220588235294
8418737715205.046,740782427275.4902,-21497527231224.11,-7425815480448.533,11008727638956.373,16212456887789.969,2863769127253.078,660723873842.6561,-6212270750941.9375,-17634046301999.695,5197934512103.266,-845803284100.9962,-798931077924.3127,11881042892696.479,923.404411764706
7399518342148.248,651099166906.7407,-18894916618002.223,-6526804809099.92,9675949614749.621,14249686379914.639,2517065254378.0884,580732960465.6957,-5460178595881.7705,-15499170233273.396,4568643567567.936,-743405604844.9244,-702208023182.695,10442657558202.3,939.5720588235296
9874628129912.598,868889300527.556,-25215191773796.93,-8709995362811.075,12912516788896.035,19016150346380.945,3359013673352.3403,774985811567.4762,-7286586769854.508,-20683581704564.285,6096836761505.771,-992071956626.0852,-937093851342.478,13935685216489.924,940.9073529411766
8314002031106.549,731566500567.3248,-21230081196906.605,-7333432510784.857,10871770385743.463,16010761257087.064,2828141602142.0894,652503969282.6011,-6134985290200.967,-17414664921077.748,5133268213246.627,-835280786156.101,-788991733202.6036,11733233528198.904,951.2279411764706
7780386815315.851,684612584666.6412,-19867477061656.844,-6862752930529.587,10173990706121.639,14983147204084.406,2646623803164.19,610624497277.1569,-5741225285489.664,-16296944568846.746,4803801103266.579,-781670183911.0146,-738352119593.7688,10980162788026.873,976.9205882352942
7139824324868.052,628248137972.0544,-18231779285906.125,-6297739597925.24,9336361773552.229,13749578378158.889,2428726154908.1675,560351521458.7114,-5268547799032.907,-14955210229134.182,4408302159335.411,-717314976344.9889,-677563273853.6621,10076161342150.725,1017.0220588235294
9039323706118.637,795389090553.4211,-23082214263290.055,-7973208357764.471,11820234332046.533,17407555742482.371,3074871442879.5566,709429042074.1846,-6670207379927.832,-18933937388063.7,5581099503283.81,-908151526590.3458,-857824155922.5579,12756852244074.969,1054.6279411764706
10243402233029.826,901338503413.7943,-26156868858637.06,-9035275542237.42,13394742698516.932,19726320345567.43,3484458129536.991,803928159945.8911,-7558708925619.213,-21456022929918.543,6324526970564.687,-1029121432155.0029,-972090195101.2609,14456122175999.055,1043.110294117647
8507923293006.079,748630065745.5123,-21725265547699.895,-7504482350942.848,11125350851373.764,16384206764914.672,2894107033312.9663,667723367945.4276,-6278081636355.089,-17820856128122.004,5252999802269.42,-854763510343.921,-807394728592.9152,12006906992835.07,1062.9426470588237
8203934250463.047,721881428700.132,-20949019393406.027,-7236346361253.495,10727840825556.86,15798797235045.223,2790700267507.467,643865538640.6309,-6053765084449.536,-17184114952346.846,5065309540485.925,-824222715074.1586,-778546424959.7012,11577898873546.195,1106.3764705882354
6998165296030.917,615783284378.3868,-17870048184116.76,-6172788132173.721,9151122041557.055,13476777241344.117,2380538549402.2026,549233731876.4411,-5164016101280.1455,-14658488636053.592,4320838285594.3965,-703083029168.7783,-664119981475.2688,9876243179872.402,1120.9382352941177
