Feature_1,Feature_2,Feature_3,Close
19804689699675.707,1742656275018.5667,-50571934953269.04,897.4691176470589
21456667241654.71,1888017223594.0981,-54790314875293.55,907.4220588235294
18186552046716.85,1600272941703.2107,-46439966547508.42,923.404411764706
15984786556191.87,1406534956557.3228,-40817685039769.984,939.5720588235296
21331634801055.9,1877015417446.6904,-54471039848868.27,940.9073529411766
17960297109879.277,1580364264606.1597,-45862217081098.69,951.2279411764706
16807556494457.785,1478932213363.7666,-42918655722721.34,976.9205882352942
15423783360551.605,1357171092151.4836,-39385144674187.055,1017.0220588235294
19527171009442.01,1718236816739.7239,-49863281795158.06,1054.6279411764706
22128277913919.45,1947113707371.9363,-56505294851695.43,1043.110294117647
18379214914638.91,1617225778376.2312,-46931937539565.59,1062.9426470588237
17722523528012.69,1559442118133.9192,-45255054191527.31,1106.3764705882354
15117764882724.352,1330243930823.4238,-38603716183104.98,1120.9382352941177
20496933884077.945,1803568385715.742,-52339603256245.21,1165.739705882353
17870404693478.184,1572454498064.9136,-45632673571195.234,1128.2044117647058
19204214057336.105,1689819218749.294,-49038600200982.53,1081.4485294117646
16535180933580.217,1454965354192.7737,-42223135396087.74,1074.4147058823528
11276339041689.713,992228784345.2712,-28794506969133.895,1036.125
12796800643085.027,1126017381327.2993,-32677057091510.45,1036.654411764706
23440103245231.05,2062543975959.1216,-59855084531372.914,999.6691176470588
19697766153145.305,1733247837064.9038,-50298902133184.17,1038.7911764705882
16350777569318.693,1438739233040.2925,-41752255043604.414,1064.8617647058825
17724088663887.332,1559579828585.8376,-45259051239248.7,1048.0
17154935224492.773,1509498780379.1294,-43805698688847.53,1063.6808823529411
14850188888298.205,1306699292884.5723,-37920452215706.35,1064.8808823529412
19007883372471.652,1672543652790.7925,-48537263324189.27,1009.895588235294
12616334058992.465,1110137735140.772,-32216229329866.484,979.154411764706
11759625671855.783,1034754159644.1296,-30028595954717.145,967.129411764706
15934205955795.48,1402084239040.6736,-40688525863008.04,927.6691176470588
17157121475482.078,1509691154414.3982,-43811281364875.42,904.7220588235294
14390741835844.15,1266271620623.245,-36747238665284.93,910.6985294117648
13463488922427.734,1184680612196.9634,-34379467732324.76,871.8838235294118
11612123600218.21,1021775114274.4081,-29651944568558.906,886.4823529411765
18441516175359.027,1622707773852.563,-47091025938964.81,1042.785
13279143978803.271,1168459789183.6074,-33908736493064.13,1035.4083333333333
14345558207915.844,1262295846566.4976,-36631860674021.73,1071.3
12879035656031.947,1133253416198.979,-32887046543771.254,1062.71
12978296653247.963,1141987568200.0715,-33140512641987.938,1047.26
15088925494207.51,1327706203680.308,-38530074419325.67,1101.5879310344828
18822342053907.184,1656217346860.3186,-48063477802700.016,1031.045
25321184732361.504,2228064167993.6094,-64658489169607.43,993.19
22441723152233.664,1974694263052.1572,-57305688184965.95,953.7666666666668
11596452352727.139,1020396081536.1124,-29611927787877.273,887.1816666666667
22044599706046.582,1939750551826.2178,-56291620141002.85,900.9383333333334
21715563519479.703,1910798030764.8044,-55451415064262.516,926.3216666666668
13366392279124.627,1176136804580.127,-34131528358980.99,996.205
21891603564129.89,1926288016912.0986,-55900939784513.63,1051.8266666666666
24861696850574.24,2187633014674.369,-63485170052809.945,1073.8316666666667
24611302797655.49,2165600213772.9224,-62845782855929.69,1036.246666666667
9384806417034.604,825788796068.2925,-23964415812656.547,977.3433333333334
11342760451880.094,998073144473.8179,-28964117327604.58,910.6983333333334
12962320741350.506,1140581785231.6653,-33099717991622.6,865.9449999999999
18377911078086.72,1617110945559.1138,-46928608454635.42,829.9133333333334
19929653921468.5,1753652074445.594,-50891035471519.81,844.3366666666667
18616357680297.32,1638092369127.1306,-47537489785161.88,831.6333333333333
18462879730281.305,1624587498861.0295,-47145578771475.375,808.4783333333332
19053328341337.3,1676542284483.4585,-48653308889194.11,856.995
28752935076632.24,2530031090176.985,-73421578187593.28,840.6766666666666
20383766637755.707,1793610428868.3623,-52050627442738.18,829.555
20747204614505.574,1825590079945.717,-52978678271614.09,777.7616666666667
19691704255135.074,1732714422367.1724,-50283422619125.78,758.4449999999999
17609572062392.707,1549503216741.7695,-44966629459540.93,809.33
22386221395201.297,1969810662716.2527,-57163962254991.88,850.6383333333332
22990334417709.125,2022967901362.686,-58706584724084.41,790.9683333333334
17729294566444.43,1560037898425.6755,-45272344269024.12,805.4283333333333
20238291714141.336,1780809825277.4138,-51679152194108.77,787.2583333333333
