Feature_1,Feature_2,Feature_3,Feature_4,Close
17151364393987.168,1509184604230.4397,-43796580388065.195,-15128499251858.504,897.4691176470589
18582018911822.355,1635070878415.0532,-47449804563352.63,-16390419597616.465,907.4220588235294
15750016079704.666,1385877020503.8337,-40218190781041.81,-13892428672620.266,923.404411764706
13843231231734.129,1218095003689.4827,-35349152168112.85,-12210533713000.193,939.5720588235296
18473737641966.62,1625543034803.8862,-47173304279674.4,-16294909244014.412,940.9073529411766
15554073556671.682,1368635600382.0464,-39717845066108.08,-13719595962193.16,951.2279411764706
14555770899742.566,1280792867248.1694,-37168646152155.06,-12839035098060.266,976.9205882352942
13357388212705.408,1175344643085.0557,-34108535819571.38,-11781991943277.86,1017.0220588235294
16911026158219.799,1488036733014.3076,-43182868750669.016,-14916506974058.574,1054.6279411764706
19163650815456.37,1686249934640.9958,-48935020789898.305,-16903452737075.285,1043.110294117647
15916867017691.137,1400558607728.8787,-40644250158088.35,-14039600911159.984,1062.9426470588237
15348155594426.396,1350516490035.387,-39192026579504.1,-13537964407919.434,1106.3764705882354
13092368436879.564,1152025037323.154,-33431798895053.35,-11548229155869.158,1120.9382352941177
17750865443301.547,1561936039492.3235,-45327426043907.08,-15657294058471.123,1165.739705882353
15476224440460.768,1361785541619.3232,-39519054555257.84,-13650928561277.143,1128.2044117647058
16631337233367.287,1463426371240.0618,-42468673540079.555,-14669805147278.373,1081.4485294117646
14319886744652.559,1260036958357.1653,-36566307880441.914,-12630971594172.854,1074.4147058823528
9765596071789.564,859295333609.1561,-24936774524718.016,-8613822716642.363,1036.125
11082354444076.676,975159657332.2706,-28299161562162.484,-9775280120754.322,1036.654411764706
20299724877700.156,1786215479603.1592,-51836023749833.94,-17905536022891.94,999.6691176470588
17058765886429.107,1501036657952.638,-43560127029804.78,-15046821981990.676,1038.7911764705882
14160188746658.764,1245984725234.2324,-36158513533048.39,-12490108570749.143,1064.8617647058825
15349511041854.219,1350635750785.1152,-39195488124370.96,-13539160026064.07,1048.0
14856609704687.244,1307264290789.9531,-37936847895068.64,-13104392350678.148,1063.6808823529411
12860640828263.635,1131634782745.202,-32840074941795.61,-11343831904149.004,1064.8808823529412
16461309872732.281,1448465292255.2456,-42034503068922.63,-14519831131448.232,1009.895588235294
10926065797718.312,961407480331.629,-27900073013809.695,-9637424411023.787,979.154411764706
10184134570822.756,896123388923.4349,-26005526936763.67,-8982997989575.424,967.129411764706
13799427146852.184,1214240569254.9963,-35237297039905.12,-12171895946799.07,927.6691176470588
14858503053583.03,1307430891591.5242,-37941682634329.9,-13106062396734.047,904.7220588235294
12462748009144.545,1096623391551.0214,-31824042203066.52,-10992867358942.426,910.6985294117648
11659723430392.795,1025963505533.4711,-29773492424780.63,-10284552997757.496,871.8838235294118
10056394029673.785,884883205916.385,-25679337267980.016,-8870323390459.318,886.4823529411765
15970821492162.56,1405306155074.813,-40782024753415.47,-14087191869351.812,1042.785
11500076026154.799,1011915860733.6135,-29365827213225.984,-10143734774137.248,1035.4083333333333
12423617839523.482,1093180270218.1709,-31724121931594.965,-10958352299957.332,1071.3
11153572054369.25,981426247353.8154,-28481017762347.13,-9838098149489.127,1062.71
11239534599563.293,988990244867.2761,-28700525842400.895,-9913922051516.682,1047.26
13067392793794.37,1149827301149.343,-33368023256840.984,-11526199148848.23,1101.5879310344828
16300626377403.79,1434326296569.499,-41624192771367.68,-14378098849074.748,1031.045
21928789232143.73,1929560170744.3054,-55995894191201.016,-19342465274183.15,993.19
19435102354531.74,1710135396510.5588,-49628181749530.28,-17142888635552.98,953.7666666666668
10042822331237.523,883688928532.3707,-25644681719332.05,-8858352294577.148,887.1816666666667
19091183361695.305,1679873254886.388,-48749973062292.23,-16839532122523.62,900.9383333333334
18806229665364.03,1654799636143.5999,-48022334121446.44,-16588186468265.707,926.3216666666668
11575635270670.105,1018564351092.2438,-29558770628866.53,-10210382293780.549,996.205
18958684816114.445,1668214357651.4253,-48411633948813.01,-16722660659587.012,1051.8266666666666
21530861053784.86,1894545764865.5388,-54979770029308.47,-18991469527374.97,1073.8316666666667
21314013443000.68,1875464799568.3616,-54426044473955.65,-18800197481180.094,1036.246666666667
8127480766751.184,715154075555.7085,-20753792880614.074,-7168909884160.557,977.3433333333334
9823118700369.615,864356697949.3425,-25083661403898.613,-8664560902523.871,910.6983333333334
11225699054011.475,987772801104.4288,-28665196638846.01,-9901718303824.156,865.9449999999999
15915737862114.56,1400459159592.0664,-40641367085967.47,-14038604842272.152,829.9133333333334
17259586584623.88,1518707245869.164,-44072929543231.14,-15223957456188.62,844.3366666666667
16122238677075.023,1418629605409.531,-41168673786093.45,-14220750556381.541,831.6333333333333
15989322873440.396,1406934044684.2742,-40829268892218.016,-14103511078884.975,808.4783333333332
16500666370244.125,1451928208881.472,-42135001476213.34,-14554545691441.84,856.995
24900772209728.17,2191071196457.7068,-63584951896401.195,-21963926836828.527,840.6766666666666
17652859733110.152,1553312195892.7036,-45077165648330.71,-15570847235084.941,829.555
17967606253675.56,1581007386129.8552,-45880881242140.46,-15848471901446.73,777.7616666666667
