Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Close
15340646676729.914,1349855746262.1516,-39172852371899.15,-13531341089884.133,20060133320302.777,897.4691176470589
16620262978408.582,1462451852866.5408,-42440395409094.48,-14660036960006.068,21733418184362.6,907.4220588235294
14087242640373.752,1239566090520.577,-35972243407385.945,-12425765953818.438,18421124717031.297,923.404411764706
12381762424962.264,1089497292521.0165,-31617242877953.76,-10921433369528.541,16190960522837.59,939.5720588235296
16523413266373.61,1453929890469.1187,-42193086037053.47,-14574609902722.377,21606773278438.902,940.9073529411766
13911986319899.926,1224144895552.1973,-35524720595048.914,-12271179678118.22,18191951398817.0,951.2279411764706
13019077278695.06,1145575966505.508,-33244647771141.887,-11483582097907.377,17024342668282.33,976.9205882352942
11947211218185.484,1051260207571.3651,-30507601882219.25,-10538133958209.66,15622721378383.865,1017.0220588235294
15125681623622.633,1330940515214.6787,-38623931995978.94,-13341729432337.87,19779035139778.074,1054.6279411764706
17140490368171.885,1508227792364.7383,-43768813186631.22,-15118907749822.088,22413691563116.582,1043.110294117647
14236478656152.691,1252697701341.694,-36353322499196.84,-12557400805728.688,18616272677022.54,1062.9426470588237
13727807695352.447,1207938670581.4172,-35054414243099.89,-12108723477232.223,17951111179527.473,1106.3764705882354
11710170324534.146,1030402518094.5223,-29902309975776.664,-10329050164907.38,15312756020211.373,1120.9382352941177
15876856716269.676,1397038064324.6523,-40542082351708.234,-14004309543378.002,20761306506672.188,1165.739705882353
13842355953565.57,1218018016734.87,-35346916956831.695,-12209761687603.64,18100899752294.945,1128.2044117647058
14875520244213.014,1308928338463.4485,-37985136379945.805,-13121072610396.305,19451912886630.047,1081.4485294117646
12808096076456.518,1127011317219.4773,-32705900042741.746,-11297484442575.756,16748454115693.344,1074.4147058823528
8734614662930.551,768577111479.373,-22304129190741.793,-7704437256217.694,11421782902089.64,1036.125
9912359155080.934,872209313084.1432,-25311539583697.793,-8743276339643.61,12961855590608.537,1036.654411764706
18156625900432.453,1597639693942.021,-46363549115168.89,-16015198288303.047,23742436989119.965,999.6691176470588
15257824053723.975,1342568001560.4795,-38961362058867.805,-13458286718827.713,19951830619858.324,1038.7911764705882
12665257844702.617,1114442617820.0566,-32341157690096.906,-11171492724219.133,16561671956937.496,1064.8617647058825
13729020044387.861,1208045340638.7927,-35057510342951.68,-12109792870610.836,17952696485892.508,1048.0
13288155685945.5,1169252727505.755,-33931748298177.312,-11720924839977.846,17376201855291.479,1063.6808823529411
11502906850482.676,1012164919968.5911,-29373055982416.973,-10146231705203.227,15041728552599.69,1064.8808823529412
14723443149647.117,1295546742612.732,-37596802505013.81,-12986931772694.377,19253049840601.88,1009.895588235294
9772570340133.445,859908992039.3259,-24954583934434.367,-8619974444426.026,12779061261001.402,979.154411764706
9108966876946.129,801517125544.1128,-23260050408522.184,-8034637658573.84,11911302923840.916,967.129411764706
12342582860366.982,1086049781556.8855,-31517196609831.977,-10886874700838.756,16139727434037.178,927.6691176470588
13289849148679.94,1169401739792.7224,-33936072620433.977,-11722418574580.463,17378416309708.246,904.7220588235294
11147020693958.95,980849779689.7809,-28464288673951.566,-9832319472893.541,14576355640448.56,910.6985294117648
10428773675682.13,917649656322.7294,-26630221195753.816,-9198783848474.004,13637142609319.723,871.8838235294118
8994712263549.447,791463600230.7925,-22968297499338.824,-7933858433389.381,11761898242179.793,886.4823529411765
14284737005196.043,1256944036778.4573,-36476551843486.44,-12599967452781.193,18679377431846.43,1042.785
10285980696359.111,905085060844.2278,-26265594345714.61,-9072832200279.742,13450420266867.338,1035.4083333333333
11112021606261.434,977770158347.7676,-28374917266215.312,-9801448265638.303,14530589353029.963,1071.3
9976058122204.65,877814321594.2616,-25474196713994.855,-8799462492629.03,13045151291439.744,1062.71
10052945360033.762,884579766642.9568,-25670530709439.125,-8867281452330.188,13145692435315.98,1047.26
11687831430246.037,1028436803102.0212,-29845267310836.15,-10309345927609.941,15283544351037.576,1101.5879310344828
14579723462280.406,1282900440417.969,-37229809818133.4,-12860162565497.049,19065114881005.133,1031.045
19613705354935.52,1725851083384.147,-50084250348964.44,-17300426882201.055,25647780457685.0,993.19
17383284005759.678,1529591598930.4666,-44388795196665.66,-15333065727922.033,22731179098868.58,953.7666666666668
8982573367440.006,790395406064.9337,-22937300634309.06,-7923151159726.299,11746024547129.86,887.1816666666667
17075673507065.465,1502524316603.9177,-43603301467427.62,-15061735414101.65,22328933559944.227,900.9383333333334
16820803172890.844,1480097790223.6025,-42952481413504.76,-14836925026593.71,21995653669927.637,926.3216666666668
10353562939185.014,911031651400.0878,-26438168182987.91,-9132443554061.418,13538793344338.44,996.205
16957163205130.0,1492096281899.8933,-43300681764552.984,-14957202399799.21,22173963742301.2,1051.8266666666666
19257787572146.28,1694533246689.471,-49175401269135.74,-16986486742330.494,25182366574604.88,1073.8316666666667
19063833172757.543,1677466712497.15,-48680134076076.65,-16815407823335.605,24928742610714.836,1036.246666666667
7269439792111.102,639653250931.4338,-18562756668801.7,-6412067930221.26,9505852851540.342,977.3433333333334
