Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Close
14004030385936.062,1232244069342.9172,-35759758143181.52,-12352367913710.13,18312312543484.727,26968382505590.754,897.4691176470589
15172154908237.3,1335029781800.3845,-38742603191666.234,-13382721561424.639,19839805652113.95,29217908509749.266,907.4220588235294
12859834278635.572,1131563848827.6848,-32838015263819.645,-11343120511976.76,16816109236890.02,24764936963168.574,923.404411764706
11302950969702.834,994570405757.6088,-28862461883958.062,-9969859027967.393,14780257176722.98,21766755488446.703,939.5720588235296
15083743621621.576,1327250330068.2532,-38516841655417.41,-13304737684265.367,19724195199168.062,29047649462983.8,940.9073529411766
12699847878520.79,1117486288247.907,-32429484698294.41,-11202003194840.557,16606903576949.553,24456841798155.938,951.2279411764706
11884737172407.098,1045762996984.7493,-30348072500947.098,-10483028259977.281,15541027510193.209,22887135403794.258,976.9205882352942
10906261805798.28,959664882490.6667,-27849502877130.918,-9619956138204.39,14261528180931.744,21002827897213.758,1017.0220588235294
13807795038165.807,1214976904801.046,-35258664689572.0,-12179276943703.412,18055706186239.67,26590480618029.562,1054.6279411764706
15647055368912.955,1376817306223.975,-39955277162579.15,-13801611365695.387,20460807443470.293,30132452055503.4,1043.110294117647
12996067499026.11,1143551314599.526,-33185891288450.336,-11463286141551.918,16994254136453.889,25027289234009.684,1062.9426470588237
12531716566395.91,1102692096600.4067,-32000155701793.664,-11053701651787.469,16387047542183.95,24133061406284.594,1106.3764705882354
10689874064958.242,940624504117.4918,-27296949492074.4,-9429089621537.049,13978569816404.674,20586117277505.86,1120.9382352941177
14493520942963.84,1275315435873.2761,-37009688387104.5,-12784127065321.676,18952393161638.56,27911023034720.42,1165.739705882353
12636284341306.328,1111893238688.989,-32267172925864.316,-11145936496771.432,16523785175786.027,24334433654692.453,1128.2044117647058
13579429987300.38,1194882628556.98,-34675526742010.75,-11977845745628.75,17757085791054.51,26150704521971.91,1081.4485294117646
11692138566281.082,1028815868341.1971,-29856265361531.395,-10313145120437.367,15289176870842.475,22516236850631.336,1074.4147058823528
7973575803337.409,701611701899.0259,-20360791138797.883,-7033156796856.068,10426613570668.865,15355182265677.652,1036.125
9048704512217.797,796214526070.4519,-23106168658627.004,-7981482796206.677,11832501156834.576,17425621022478.762,1036.654411764706
16574655956415.682,1458438831896.158,-42323936160627.81,-14619808942369.508,21673780515143.406,31918786900124.566,999.6691176470588
13928424021115.898,1225591299065.5095,-35566694784613.03,-12285678702123.543,18213446156697.805,26822782904577.633,1038.7911764705882
11561745696938.146,1017342268041.9232,-29523302671162.926,-10198130943432.764,15118668868025.66,22265131565573.37,1064.8617647058825
12532823284586.352,1102789472594.7986,-32002982041342.18,-11054677869914.66,16388494722278.432,24135192872490.406,1048.0
12130371028054.81,1067376823798.9055,-30975306597498.75,-10699691549464.16,15862229533177.104,23360166837418.21,1063.6808823529411
10500669264816.78,923975930970.3477,-26813808907386.414,-9262199964356.52,13731156720213.973,20221754620261.133,1064.8808823529412
13440603228677.732,1182666958718.888,-34321028036771.355,-11855392474475.441,17575549497448.156,25883357724887.723,1009.895588235294
8921095366828.371,784985920569.1152,-22780314223409.54,-7868924080550.329,11665633527318.14,17179876459732.684,979.154411764706
8315311056784.634,731681683145.3516,-21233423829091.426,-7334587144968.974,10873482167774.852,16013282104711.717,967.129411764706
11267185084166.059,991423273220.4406,-28771132554217.21,-9938311423969.49,14733487979345.23,21697879060991.098,927.6691176470588
12131916940954.723,1067512852783.7682,-30979254145575.24,-10701055136358.791,15864251044238.156,23363143897723.08,904.7220588235294
10175791138430.348,895389249766.776,-25984221650103.48,-8975638613168.496,13306331317485.568,19596117666451.52,910.6985294117648
9520124315478.617,837695694424.7034,-24309954767110.94,-8397302359038.995,12448951045065.459,18333461749984.355,871.8838235294118
8211011341690.642,722504112151.0933,-20967091079795.625,-7242588720033.272,10737094977203.725,15812426061572.979,886.4823529411765
13040121142957.775,1147427670775.2742,-33298383774473.63,-11502143996198.617,17051860632625.346,25112125943060.254,1042.785
9389772755764.305,826225840475.5323,-23977097515713.4,-8282324760920.742,12278497646813.162,18082435963263.777,1035.4083333333333
10143841488723.63,892577952970.784,-25902637090081.582,-8947457185516.645,13264552604164.846,19534590302219.523,1071.3
9106853447523.53,801331175397.1187,-23254653624298.273,-8032773501889.263,11908539380648.66,17537601652389.93,1062.71
9177041571762.309,807507153505.0055,-23433881221148.184,-8094683458647.36,12000320468079.309,17672766967544.016,1047.26
10669481537772.707,938830060045.7933,-27244876901527.516,-9411102196126.648,13951903332823.229,20546846460665.027,1101.5879310344828
13309405704130.5,1171122517083.7236,-33986011081698.293,-11739668550510.404,17403989136256.55,25630703161247.137,1031.045
17904781431930.094,1575479282107.0452,-45720456153106.35,-15793056763083.816,23413113177690.414,34480287720325.88,993.19
15868694622455.568,1396319704174.3528,-40521240716151.25,-13997109958153.78,20750632585233.8,30559275995025.324,953.7666666666668
8199930096320.055,721528988750.3663,-20938794942814.383,-7232814361175.52,10722604342454.047,15791086388314.748,887.1816666666667
15587885940688.514,1371610769006.6663,-39804186325680.37,-13749420402463.148,20383434326359.31,30018506204386.22,900.9383333333334
15355222221911.312,1351138245031.6948,-39210071618329.89,-13544197535130.521,20079192803484.434,29570451931954.22,926.3216666666668
9451466620568.533,831654310121.685,-24134635154896.42,-8336742232836.814,12359170860158.285,18201243668875.43,996.205
15479701331243.842,1362091319276.932,-39527933596330.445,-13653995252567.39,20241966884933.4,29810168945933.246,1051.8266666666666
17579874434845.283,1546890139423.8164,-44890794249123.04,-15506469935894.764,22988250373791.996,33854594555804.754,1073.8316666666667
17402819102057.648,1531310596497.87,-44438679226405.15,-15350296964149.596,22756724430214.58,33513629811579.926,1036.246666666667
6636060257608.195,583920857527.7644,-16945400928303.576,-5853390409396.075,8677616725189.088,12779450337954.266,977.3433333333334
8020542832899.002,705744288577.6173,-20480723773431.984,-7074584352150.794,10488029145945.553,15445629941215.758,910.6983333333334
9165744896123.98,806513114835.1688,-23405035047238.72,-8084719140381.908,11985548327059.031,17651012471331.492,865.9449999999999
12995145547358.496,1143470115535.8396,-33183537269921.06,-11462472854710.63,16993048192251.822,25025513926207.42,829.9133333333334
14092393434571.45,1240019273682.336,-35985396283516.8,-12430309211167.172,18427859904299.234,27138548512182.117,844.3366666666667
13163752756732.504,1158306222419.7314,-33614081387674.207,-11611194207511.586,17213526732798.893,25350210710553.773,831.6333333333333
13055227457513.572,1148756837075.5269,-33336958452274.785,-11515468574985.887,17071613992916.486,25141217201016.1,808.4783333333332
13472737674333.441,1185494418304.2393,-34403084642712.895,-11883736794018.63,17617569392696.367,25945241075477.727,856.995
20331395371703.2,1789002140476.9397,-51916895821865.516,-17933471166017.23,26586264851299.03,39153360571730.43,840.6766666666666
14413499615681.172,1268274097059.731,-36805351629774.77,-12713543529594.795,18847753154914.6,27756921522654.17,829.555
14670489073581.725,1290887125196.5083,-37461582664158.72,-12940223120460.393,19183804275410.387,28251821124814.21,777.7616666666667
13924137611926.01,1225214117915.5596,-35555749115252.875,-12281897803029.562,18207840997169.8,26814528195800.484,758.4449999999999
12451847819111.066,1095664232028.4739,-31796208617944.17,-10983252771235.236,16282607308928.307,23979253753907.24,809.33
15829448953690.215,1392866477260.2297,-40421025349996.625,-13962493077356.36,20699313556165.797,30483698137368.23,850.6383333333332
16256621368508.598,1430454321176.2742,-41511824158702.664,-14339283986834.158,21257904019325.82,31306328980127.7,790.9683333333334
12536504413586.67,1103113376884.8057,-32012381632838.895,-11057924794658.328,16393308300054.582,24142281644918.176,805.4283333333333
14310633310700.857,1259222703457.2905,-36542678962425.97,-12622809497648.578,18713240597118.58,27558825757303.137,787.2583333333333
10709951651543.795,942391146389.2786,-27348218361708.902,-9446799193214.94,14004824069526.281,20624781918081.33,735.4133333333333
10934261699345.408,962128660987.603,-27921001529888.457,-9644653680538.604,14298142185152.006,21056748923232.875,711.9116666666666
15261633176472.55,1342903182812.6086,-38971088747027.44,-13461646592815.936,19956811645508.42,29390221931541.215,722.88
11432327919024.295,1005954556012.3971,-29192830239551.992,-10083977010339.686,14949436426053.764,22015904265886.9,729.5883333333334
11691131107002.58,1028727177718.5594,-29853692832476.727,-10312256433175.95,15287859269833.176,22514296764035.094,726.1183333333333
9104668420093.762,801138865722.1599,-23249074244502.83,-8030846141664.221,11905681917992.402,17533393928979.125,714.8433333333334
14472066269105.098,1273427523339.8862,-36954903394073.04,-12765202732174.535,18924337708691.152,27869706669388.09,693.8349999999999
7841934143594.452,690028242598.8474,-20024640108726.363,-6917041206961.25,10254472762299.12,15101672419625.01,660.4783333333332
10290512367302.613,905483790554.0868,-26277166201091.18,-9076829378508.965,13456345966126.285,19817043110021.61,655.3783333333334
10232769370695.268,900402859642.347,-26129717555998.66,-9025896700999.791,13380838559831.955,19705844049086.82,658.8783333333333
11353649399943.408,999031446101.6405,-28991922071133.34,-10014577965946.87,14846552677414.518,21864388464801.027,662.4599999999999
10999055028246.385,967829950316.4894,-28086453482026.703,-9701805146489.604,14382868854079.422,21181525256691.1,665.6566666666666
13467647969786.178,1185046594744.053,-34390087973374.273,-11879247426338.123,17610914020685.137,25935439567258.7,676.4566666666667
12248672910917.62,1077786441050.4364,-31277394444145.867,-10804040665920.291,16016926444425.904,23587987739916.305,701.075
14668767794097.27,1290735666203.353,-37457187410865.03,-12938704863263.268,19181553456859.89,28248506415057.395,739.2549999999999
10683100233881.398,940028425867.9733,-27279652393034.676,-9423114675989.535,13969711885150.42,20573072583343.68,722.3566666666667
15744557941532.775,1385396717582.8765,-40204253357601.484,-13887614252119.33,20588306068614.457,30320218563655.85,756.4316666666667
17263365619044.723,1519039795575.9023,-44082579377020.38,-15227290809040.393,22574368636168.836,33245075585126.07,781.765
12646842018761.459,1112822216968.8577,-32294132374820.51,-11155248970850.113,16537590824405.62,24354765235591.336,794.3016666666666
15281171430830.717,1344622409768.833,-39020980285333.875,-13478880481739.521,19982360837361.117,29427847861812.508,796.0483333333334
11295797293260.451,993940917931.9106,-28844194817952.527,-9963549052930.19,14770902613217.314,21752979288693.164,802.5533333333333
16109398531710.512,1417499795591.3672,-41135885987684.91,-14209424823525.475,21065388295238.06,31022813503747.23,800.4816666666667
8658556083368.647,761884520735.5022,-22109911150859.95,-7637349133885.371,11322325032293.123,16674288992162.79,788.68
