Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Close
12965212809125.166,1140836327223.1943,-33107102851962.625,-11436070494298.377,16953907026075.178,24967870582030.355,4410325803790.36,897.4691176470589
14046685970908.863,1235997405785.7595,-35868680752356.805,-12389992611226.434,18368090848308.168,27050526971641.332,4778206319483.782,907.4220588235294
11905893054904.86,1047624555420.6589,-30402094567882.06,-10501688964130.395,15568691931483.643,22927876410101.668,4049981139266.664,923.404411764706
10464499194494.531,920793272289.3362,-26721447341087.508,-9230295879991.043,13683859174017.639,20152099738038.45,3559667820119.5767,939.5720588235296
13964833024713.271,1228795033006.9417,-35659666184342.11,-12317793570294.186,18261056367227.055,26892897723977.758,4750362693051.549,940.9073529411766
11757774429988.338,1034591266880.1351,-30023868758947.348,-10371039715499.72,15375005126524.576,22642635713690.227,3999596210060.9155,951.2279411764706
11003128554728.488,968188402206.8628,-28096855510731.457,-9705398269570.64,14388195640055.04,21189369983048.684,3742891276934.257,976.9205882352942
10097236393189.729,888477037255.7227,-25783629532321.297,-8906348751679.957,13203609443379.281,19444840219304.164,3434737467561.3887,1017.0220588235294
12783534179873.605,1124850039224.25,-32643180460746.48,-11275819395177.025,16716335702808.283,24618001418784.215,4348524897073.995,1054.6279411764706
14486358362793.625,1274685135816.8557,-36991398689098.98,-12777809211610.078,18943026788740.633,27897229768417.77,4927767944312.398,1043.110294117647
12032020508599.162,1058722792177.5651,-30724165183714.12,-10612940719292.902,15733622060171.832,23170767415667.336,4092885417470.558,1062.9426470588237
11602115081821.992,1020894506892.9926,-29626387344571.78,-10233739166113.889,15171457990482.285,22342873318983.504,3946646166827.2827,1106.3764705882354
9896900273375.65,870849072250.5627,-25272064502238.61,-8729640694175.759,12941640902101.352,19059041151789.914,3366589902316.5684,1120.9382352941177
13418393005470.344,1180712664081.671,-34264313395100.12,-11835801795121.088,17546506527836.832,25840586130758.836,4564482320283.097,1165.739705882353
11698926029622.55,1029413109179.465,-29873597257601.86,-10319132039499.45,15298052440066.422,22529307794095.89,3979577963760.154,1128.2044117647058
12572109225696.812,1106246354387.1113,-32103299627954.156,-11089330343278.238,16439866938743.85,24210847869654.54,4276605278461.844,1081.4485294117646
10824816893988.844,952498409875.2311,-27641530575848.754,-9548117044372.121,14155027256003.564,20845984647553.89,3682235680218.582,1074.4147058823528
7382096745789.842,649566215853.7456,-18850429683569.934,-6511437927381.282,9653168416286.484,14216136377235.393,2511138991192.731,1036.125
8377472514313.814,737151411966.9001,-21392155372891.45,-7389417198716.967,10954767401579.414,16132990193629.951,2849732115884.283,1036.654411764706
15345149631264.477,1350251984858.2642,-39184350798999.54,-13535312973680.174,20066021638978.445,29551054472492.12,5219899616433.489,999.6691176470588
12895214916903.92,1134677058781.2012,-32928360914070.316,-11374328281773.525,16862374537995.959,24833071544893.543,4386514895758.9126,1038.7911764705882
10704096554684.137,941875920101.4067,-27333267024631.285,-9441634607542.463,13997167519823.684,20613506327488.12,3641170711443.7944,1064.8617647058825
11603139703767.49,1020984659545.8359,-29629004026534.582,-10234642968477.805,15172797818901.746,22344846673238.832,3946994728378.33,1048.0
11230541315471.771,988198917504.4115,-28677561444581.652,-9905989497860.432,14685570929021.135,21627311992121.973,3820249380565.163,1063.6808823529411
9721730666431.232,855435488598.4032,-24824763237918.613,-8575130895113.875,12712580884701.041,18721706880106.21,3307003158265.265,1064.8808823529412
12443580622177.693,1094936841718.8206,-31775097601300.184,-10975960643561.605,16271796989284.867,23963332831304.184,4232884209881.1685,1009.895588235294
8259329402597.488,726755743301.3462,-21090472787167.082,-7285208077357.736,10800277996171.7,15905474938029.814,2809543821278.614,979.154411764706
7698482112232.149,677405608891.3774,-19658330567962.29,-6790508202345.646,10066888345444.373,14825418435870.213,2618762590266.4717,967.129411764706
10431386418778.42,917879593729.7776,-26636892811914.67,-9201088474110.12,13640559311035.086,20088332557099.523,3548403981932.8184,927.6691176470588
11231972552707.006,988324855872.7489,-28681216163935.688,-9907251934015.268,14687442484593.373,21630068214390.45,3820736239487.416,904.7220588235294
9420951967046.227,828969364554.3462,-24056714680610.883,-8309826636366.02,12319268987961.111,18142479613108.8,3204688430214.5127,910.6985294117648
8813922443603.506,775555511391.3156,-22506644747952.86,-7774391307865.761,11525489098606.111,16973487386546.768,2998197586804.606,871.8838235294118
7601919339597.582,668908829197.8038,-19411754355436.555,-6705334211392.758,9940618343062.117,14639461873971.586,2585915214700.9214,886.4823529411765
12072806257619.322,1062311600638.9504,-30828312988347.875,-10648916102158.854,15786955312204.84,23249310946104.906,4106759349815.995,1042.785
8693240349583.293,764936490063.7175,-22198478814253.97,-7667942736504.313,11367679916429.602,16741082667639.637,2957145608820.9253,1035.4083333333333
9391372339167.055,826366609474.1913,-23981182055111.51,-8283735704205.649,12280589415426.156,18085516342616.785,3194626435493.137,1071.3
8431307967400.236,741888508757.0167,-21529625738623.94,-7436903164969.421,11025165117537.502,16236664111586.904,2868045092388.539,1062.71
8496289543585.832,747606353425.0533,-21695558250221.523,-7494220647312.118,11110137893059.78,16361802877148.643,2890149616932.2197,1047.26
9878020461822.123,869187739861.0665,-25223854651263.08,-8712987574187.649,12916952535611.395,19022683440224.184,3360167662997.2847,1101.5879310344828
12322115316911.463,1084248765612.3344,-31464932170528.945,-10868821108730.225,16112962958569.443,23729420157986.465,4191565861319.2314,1031.045
16576606531715.242,1458610386149.9314,-42328917277315.484,-14621529388111.822,21676330778155.38,31922543417418.37,5638799529537.073,993.19
14691556438621.963,1292740847833.0781,-37515379122734.72,-12958805737985.305,19211352730404.71,28292391950691.266,4997569406571.745,953.7666666666668
7591660099902.9795,668006040353.6525,-19385557223073.406,-6696284913499.859,9927202622152.4,14619705175546.531,2582425388193.9995,887.1816666666667
14431578116851.387,1269864819010.8574,-36851515755406.62,-12729489768823.182,18871393201737.223,27791736409167.785,4909133590369.746,900.9383333333334
14216173369519.629,1250910944821.7532,-36301472417771.07,-12539490313313.686,18589720284674.25,27376918757961.285,4835860183009.879,926.3216666666668
8750357769651.701,769962276373.1309,-22344330327080.32,-7718323525783.021,11442368798857.756,16851077229502.77,2976575051273.9277,996.205
14331418630941.469,1261051521112.2947,-36595755425957.45,-12641143247025.88,18740419801001.715,27598853587760.516,4875062754211.6045,1051.8266666666666
16275801103257.383,1432141983218.533,-41560799610592.17,-14356201543170.156,21282984254660.492,31343264109414.426,5536475639636.804,1073.8316666666667
16111879717390.674,1417718129232.4229,-41142222435150.82,-14211613466887.271,21068632882477.71,31027592095897.266,5480715257792.414,1036.246666666667
6143797969795.482,540605666575.62866,-15688392778127.896,-5419186492834.77,8033911982302.522,11831471986923.178,2089911754599.3696,977.3433333333334
7425579765784.577,653392247664.8381,-18961465727332.86,-6549792390757.578,9710028190316.738,14299874653226.273,2525930506104.14,910.6983333333334
8485830854219.257,746686052444.5675,-21668851882614.61,-7484995481181.433,11096461547986.53,16341662127294.662,2886591945081.812,865.9449999999999
12031166947214.268,1058647616452.3217,-30721985786044.484,-10612187761988.355,15732505572790.355,23169123800020.723,4092595087286.1196,829.9133333333334
13047021095628.984,1148034767680.4668,-33316003177560.32,-11508230114086.451,17060883095192.912,25125413691230.664,4438154223671.511,844.3366666666667
12187266890619.283,1072383182407.8029,-31120592184099.195,-10749876979676.846,15936629037197.354,23469734609300.086,4145694994429.2256,831.6333333333333
12086791987268.562,1063542169515.6647,-30864026200398.434,-10661252265021.11,15805243370200.43,23276244217448.098,4111516843046.753,808.4783333333332
12473331337860.799,1097554560634.2338,-31851067256399.973,-11002202384309.066,16310699852895.994,24020625681121.68,4243004423555.8164,856.995
18823214491545.445,1656294140189.668,-48065705669680.68,-16603168064190.236,24614098377209.145,36248968190950.13,6403019395807.041,840.6766666666666
13344307652261.574,1174193651078.7822,-34075134318041.918,-11770454139032.125,17449628706371.457,25697915853482.55,4539281029770.435,829.555
13582233657815.555,1195129247044.533,-34682686199769.117,-11980318660463.715,17760751588277.543,26156103852531.758,4620215385092.8,777.7616666666667
12891246473120.074,1134327856891.3213,-32918227193371.22,-11370827849397.107,16857185168642.492,24825429169589.895,4385164954634.2056,758.4449999999999
11528170990242.031,1014387968613.8177,-29437569035053.926,-10168516176492.158,15074765123309.281,22200475102913.72,3921492925930.8364,809.33
14655222009649.98,1289543780946.9075,-37422597722442.69,-12926756733951.621,19163840541792.746,28222420450974.58,4985209639623.0205,850.6383333333332
15050706817357.223,1324343362351.495,-38432481184350.7,-13275597331357.742,19680994820127.547,28984028619894.13,5119740144809.525,790.9683333333334
11606547766985.836,1021284536647.9269,-29637706357271.89,-10237649036667.943,15177254325958.729,22351409601235.17,3948154016939.6836,805.4283333333333
13249071959521.467,1165813688950.6902,-33831946682949.51,-11686450748522.912,17325094276692.078,25514514812240.74,4506885063990.517,787.2583333333333
9915488506591.477,872484665174.891,-25319530252238.85,-8746036571593.514,12965947617345.85,19094837653185.164,3372912996958.954,735.4133333333333
10123159257427.15,890758052909.5741,-25849824422150.883,-8929214232787.953,13237507424419.557,19494761388993.01,3443555544389.4385,711.9116666666666
14129526750133.89,1243286758696.4458,-36080217272017.9,-12463062991663.676,18476417348786.62,27210058200996.91,4806385928476.29,722.88
10584278974623.596,931332947414.0502,-27027309005025.17,-9335948601816.803,13840488723512.512,20382766684026.34,3600412839438.247,729.5883333333334
10823884167939.107,952416298314.1322,-27639148876742.695,-9547294279843.09,14153807394505.678,20844188476387.793,3681918406325.518,726.1183333333333
8429285025087.206,741710464594.559,-21524460236665.055,-7435118776133.576,11022519621175.986,16232768516678.896,2867356972436.2544,714.8433333333334
13398529837177.855,1178964796711.646,-34213592347385.69,-11818281267118.672,17520532225589.896,25802334609284.617,4557725567087.209,693.8349999999999
7260220251232.394,638842016408.7433,-18539214303370.473,-6403935780359.711,9493796995906.686,13981431866269.607,2469680764662.4014,660.4783333333332
9527163186606.781,838315093313.2128,-24327928634034.137,-8403511080829.596,12458155564933.01,18347016829317.152,3240817892373.2314,655.3783333333334
9473703559726.598,833611065349.5684,-24191417714723.26,-8356356584256.368,12388249290504.021,18244066503627.89,3222632741571.015,658.8783333333333
10511436820238.174,924923393105.7373,-26841304184494.69,-9271697571612.924,13745236881082.346,20242490309947.902,3575634414364.091,662.4599999999999
10183146223654.85,896036421164.8759,-26003003164987.08,-8982126208696.855,13315949077499.336,19610281826484.562,3463961079877.8535,665.6566666666666
12468619187089.04,1097139956581.0613,-31839034678696.18,-10998046037475.182,16304538175716.535,24011551247804.418,4241401509754.4067,676.4566666666667
11340067576467.096,997836350386.8185,-28957240444904.562,-10002598007269.025,14828792438828.01,21838233162803.023,3857506505083.1953,701.075
