Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Close
12127846069589.824,1067154667713.6798,-30968858985182.65,-10697464410164.756,15858927864698.2,23355304348817.414,4125482030457.9814,951824099315.7759,897.4691176470589
13139471580686.256,1156169705847.9292,-33552078572723.03,-11589776843967.484,17181775700876.768,25303451014892.383,4469602742706.605,1031219069992.2137,907.4220588235294
11136943173756.33,979963039088.869,-28438555428328.96,-9823430521560.22,14563177791960.906,21447064533224.227,3788410461508.064,874055527735.4412,923.404411764706
9788642677492.604,861323237238.2861,-24995625207267.746,-8634151190369.389,12800078189509.363,18850563210959.195,3329764348402.977,768237495765.2677,939.5720588235296
13062905160495.771,1149432503020.3877,-33356563347134.145,-11522240825261.95,17081654111682.605,25156002355169.375,4443557415077.921,1025209863505.5527,940.9073529411766
10998390886996.908,967771514003.467,-28084757580361.68,-9701219340006.361,14382000375836.97,21180246293540.13,3741279675871.8716,863181616102.1453,951.2279411764706
10292484308605.781,905657321726.5421,-26282201741712.12,-9078568781730.504,13458924624740.135,19820840679540.035,3501154198558.2026,807780282119.597,976.9205882352942
9445099784145.25,831094167356.7252,-24118376974363.18,-8331126398977.043,12350845701474.562,18188982510299.61,3212902704282.5723,741275386278.212,1017.0220588235294
11957901273300.309,1052200864569.093,-30534899324686.715,-10547563232973.25,15636700240551.393,23028031714051.332,4067672575676.8267,938486409087.5349,1054.6279411764706
13550747443900.305,1192358763560.0208,-34602285038041.773,-11952546055852.24,17719579027987.01,26095468958382.56,4609504832286.081,1063496991589.2926,1043.110294117647
11254924603453.9,990344488974.2799,-28739824903026.68,-9927497009434.057,14717455800537.84,21674268264513.164,3828543738874.515,883314988085.0394,1062.9426470588237
10852784899525.15,954959368208.2769,-27712947762810.754,-9572786436301.955,14191599464554.643,20899844248932.258,3691749445773.091,851754046503.8788,1106.3764705882354
9257702503510.256,814604715987.8881,-23639851705957.152,-8165831146811.281,12105796569580.82,17828100527605.816,3149156494060.338,726567933096.4958,1120.9382352941177
12551757326888.469,1104455565304.6807,-32051330329378.426,-11071378803776.773,16413253940489.465,24171654993680.516,4269682247621.5776,985093649713.0161,1165.739705882353
10943343249014.787,962927791000.8188,-27944191462103.94,-9652664155172.188,14310017728907.412,21074237731670.656,3722554321086.495,858861284011.4941,1128.2044117647058
11760131337914.32,1034798710871.0696,-30029887048187.953,-10373118698325.855,15378087392232.904,22647174442888.266,4000397932618.2974,922964862727.4935,1081.4485294117646
10125689022967.178,890980677800.0232,-25856284265215.57,-8931445667214.281,13240815573103.05,19499633110274.05,3444416083183.1074,794689720248.7318,1074.4147058823528
6905319204691.107,607613557436.991,-17632962367348.06,-6090892454876.544,9029712227642.805,13297977921817.137,2348955438903.0864,541946908585.2682,1036.125
7836407978919.485,689542006439.1985,-20010529042498.79,-6912166861383.436,10247246592127.498,15091030482186.768,2665680305431.3403,615021185258.3342,1036.654411764706
14354073117243.035,1263045078287.7751,-36653603903254.49,-12661125942566.896,18770044522162.363,27642480313489.816,4882768989511.706,1126544026373.1003,999.6691176470588
12062369036967.766,1061393199647.9027,-30801661212122.383,-10639709858772.416,15773307062160.35,23229211395559.18,4103208965477.5654,946685303765.6869,1038.7911764705882
10012765485643.85,881044248467.9832,-25567930116844.066,-8831840468132.938,13093151311115.14,19282169554389.324,3406003322244.651,785827230374.8492,1064.8617647058825
10853743345592.906,955043698293.1389,-27715395444659.496,-9573631865999.736,14192852759280.314,20901690152813.805,3692075495248.6465,851829306132.0494,1048.0
10505209467626.219,924375444820.5985,-26825402403445.633,-9266204694493.643,13737093736391.145,20230497917846.957,3573516078527.5537,824475488272.5416,1063.6808823529411
9093846340069.793,800186628705.6979,-23221439686018.09,-8021300464064.067,11891530543050.713,17512553210241.482,3093418198801.9966,713708146154.7898,1064.8808823529412
11639903838222.059,1024219630467.0388,-29722882163841.945,-10267071054730.588,15220872350260.924,22415645324992.953,3959500617815.163,913529119458.5552,1009.895588235294
7725895217257.022,679817748825.9673,-19728330823664.637,-6814688154207.688,10102734985896.975,14878209448006.766,2628087598088.0537,606347846181.3154,979.154411764706
7201270615545.118,633654925087.6307,-18388684445315.02,-6351938793813.906,9416711784890.105,13867909100647.086,2449628097519.451,565173982270.9244,967.129411764706
9757668512028.91,858597740512.0217,-24916531687601.566,-8606830163878.674,12759574876465.621,18790914475060.727,3319227992564.249,765806585783.1034,927.6691176470588
10506548267469.582,924493249377.1406,-26828821080362.54,-9267385595384.66,13738844416324.047,20233076127699.566,3573971493348.245,824580560825.0568,904.7220588235294
8812493629485.248,775429836573.5177,-22502996046555.21,-7773131054192.442,11523620952114.955,16970735714696.045,2997711534305.2793,691626831621.5278,910.6985294117648
8244669504390.417,725465752012.6394,-21053038393168.684,-7272277166186.761,10781107855495.52,15877243614796.762,2804557036918.815,647062624326.0803,871.8838235294118
7110944412666.242,625706915461.568,-18158033518565.105,-6272265820711.434,9298597013104.723,13693962664785.316,2418902191164.206,558084976175.6816,886.4823529411765
11293076178228.0,993701511896.5942,-28837246253657.723,-9961148898694.66,14767344489645.338,21747739009724.426,3841521614235.4917,886309238689.1832,1042.785
8131781742254.901,715532567114.9601,-20764775557624.55,-7172703645350.238,10633490882447.646,15659848906491.762,2766156427752.735,638202834686.8441,1035.4083333333333
8784824421197.219,772995182130.611,-22432341745019.67,-7748725221931.028,11487439525041.79,16917451454243.238,2988299400086.551,689455255647.4056,1071.3
7886766434097.269,693973154738.3486,-20139120794850.16,-6956585915482.586,10313097625609.145,15188008552421.625,2682810526384.0825,618973411167.1284,1062.71
7947551132732.031,699321708672.9952,-20294336446781.418,-7010201510782.295,10392582378911.047,15305065149055.588,2703487415769.079,623743956159.6259,1047.26
9240042056920.219,813050681836.1271,-23594755519702.688,-8150253579457.195,12082702717369.691,17794091002594.293,3143149039263.1807,725181996617.2903,1101.5879310344828
11526283449050.523,1014221850738.4795,-29432748970050.16,-10166851196751.246,15072296719186.56,22196840054498.137,3920850841788.6445,904612021474.9972,1031.045
15505995569259.375,1364405081440.7708,-39595076501202.65,-13677188360240.22,20276350793560.1,29860805095598.84,5274613978057.455,1216949928651.4468,993.19
13742692667944.027,1209248335619.7615,-35092423853051.316,-12121852803325.312,17970574963409.63,26465109332951.902,4674798121503.659,1078561471391.3192,953.7666666666668
7101347772669.744,624862433824.7137,-18133528345110.383,-6263800977634.913,9286047755294.541,13675481965635.227,2415637757382.16,557331883340.2468,887.1816666666667
13499505215930.537,1187849770064.0828,-34471436535008.36,-11907347355845.145,17652571942998.91,25996788956659.242,4592073990266.762,1059475486371.881,900.9383333333334
13298012524930.523,1170120044222.1707,-33956918105680.902,-11729619139297.605,17389091055303.195,25608762574458.984,4523532993791.225,1043661771195.5189,926.3216666666668
8185210196433.009,720233759732.201,-20901207155209.273,-7219830558439.284,10703355934609.447,15762739397716.797,2784331006971.53,642396161850.3044,996.205
13405814595852.957,1179605684768.083,-34232194653526.555,-11824706751875.48,17530057544915.676,25816363598284.17,4560203641320.591,1052122492166.0309,1051.8266666666666
15224617855916.61,1339646157604.6768,-38876568215800.94,-13428996887504.516,19908408812260.98,29318938920149.266,5178898743435.258,1194866479208.1099,1073.8316666666667
15071283439847.014,1326153877651.4578,-38485025120694.67,-13293747126588.697,19707901463487.77,29023654789855.695,5126739682280.909,1182832652833.6887,1036.246666666667
5746996764133.002,505690296418.6378,-14675147681223.3,-5069184792805.196,7515036528318.476,11067328639070.018,1954933438575.605,451038894462.1386,977.3433333333334
6945993845431.742,611192482483.9923,-17736827075683.984,-6126769770178.461,9082899676020.455,13376307906546.387,2362791634160.5493,545139367714.16205,910.6983333333334
7937767924650.927,698460845932.5725,-20269354927373.844,-7001572158033.02,10379789329519.201,15286225202689.01,2700159518479.3804,622976192636.8398,865.9449999999999
11254126169888.686,990274168522.3636,-28737786263179.344,-9926792682368.94,14716411422223.309,21672730802856.87,3828272159854.7134,883252415578.1079,829.9133333333334
12204370714463.908,1073888192191.2311,-31164267346775.664,-10764963553766.475,15958994814503.805,23502672433386.09,4151513133660.619,957830004975.0992,844.3366666666667
11400144296467.781,1003122613977.0754,-29110648406603.53,-10055589151979.754,14907351439326.389,21953926466627.93,3877942574804.467,894712283652.7916,831.6333333333333
11306158630390.877,994852603678.4673,-28870652904576.316,-9972688322419.164,14784451401467.57,21772932778142.234,3845971841657.84,887336068443.3308,808.4783333333332
11667733084496.434,1026668282296.1268,-29793945269135.645,-10291617955507.975,15257262647010.23,22469237878675.2,3968967210878.032,915713360519.7196,856.995
17607504886280.32,1549321301077.766,-44961350667365.72,-15530841607806.646,23024380752966.27,33907804898650.562,5989476204994.56,1381881724761.9075,840.6766666666666
12482456824617.135,1098357587015.4974,-31874369506603.94,-11010251668748.365,16322633036414.34,24038199169469.55,4246108598920.842,979654895457.6265,829.555
12705016223663.803,1117941043838.439,-32442682253132.184,-11206561952957.44,16613661843733.918,24466794797262.957,4321815756029.7705,997121922771.1963,777.7616666666667
12058656897718.307,1061066551190.2169,-30792181984395.066,-10636435504107.887,15768452851616.824,23222062608057.33,4101946211182.3228,946393955190.1582,758.4449999999999
10783616535408.04,948873058954.626,-27536324407169.344,-9511775916075.549,14101151569378.09,20766642914677.03,3668220743372.7173,846325624762.2863,809.33
13708704921804.72,1206257753387.0986,-35005634800111.84,-12091873705154.969,17926131380539.184,26399656988257.258,4663236618178.032,1075893925845.5687,850.6383333333332
14078647084833.389,1238809781091.8777,-35950294278869.09,-12418184204677.781,18409884911947.48,27112076196023.555,4789078382797.414,1104927863578.1284,790.9683333333334
10856931296821.787,955324207636.6791,-27723535729680.848,-9576443785311.932,14197021439917.553,20907829209817.9,3693159910400.894,852079477232.9906,805.4283333333333
12393371991310.746,1090518850216.132,-31646888303800.05,-10931673692095.154,16206141744234.96,23866643204293.434,4215804947755.316,972663251490.5851,787.2583333333333
9275090203540.027,816134673074.6552,-23684251849483.945,-8181168085774.478,12128533419741.52,17861585088572.37,3155071207504.3257,727932596590.3518,735.4133333333333
9469348403260.326,833227862124.3701,-24180296623987.574,-8352515098049.514,12382554359263.58,18235679488630.29,3221151259857.776,743178469523.5085,711.9116666666666
13216962034064.62,1162988271138.697,-33749952868063.625,-11658127926146.832,17283105863551.414,25452678815577.242,4495962353242.409,1037300678109.9523,722.88
9900686402269.121,871182200559.4318,-25281732595818.574,-8732980262132.423,12946591717223.004,19066332381544.242,3367877824029.9644,777030970620.5197,729.5883333333334
10124816537638.717,890903869467.7415,-25854056389702.25,-8930676041469.873,13239674497156.95,19497952945996.168,3444119300631.703,794621288669.8595,726.1183333333333
7884874144835.127,693806609674.4408,-20134288910209.945,-6954916772565.455,10310622990358.459,15184364557055.768,2682166849108.4683,618824957734.6669,714.8433333333334
12533177034296.893,1102820585090.6428,-32003885133667.02,-11054989850521.668,16388957205522.326,24135873971710.684,4263361883745.0757,983635510101.1045,693.8349999999999
6791314183157.36,597581987419.3335,-17341847035797.81,-5990333404252.215,8880633914566.623,13078431955026.064,2310174819018.147,532999571091.4897,660.4783333333332
8911845128042.004,784171965334.867,-22756693469610.78,-7860764827605.682,11653537448777.617,17162062761170.09,3031507551546.864,699424215467.8763,655.3783333333334
8861838226089.4,779771750090.4269,-22628999197207.07,-7816655834999.977,11588146116752.852,17065761549523.586,3014496900589.687,695499552221.5328,658.8783333333333
9832548806012.938,865186611503.5248,-25107741018140.223,-8672878926689.879,12857491777264.84,18935115848729.13,3344699729727.129,771683384633.3301,662.4599999999999
9525461072084.33,838165323517.5109,-24323582217645.02,-8402009719426.604,12455929806932.756,18343738963196.19,3240238890505.602,747582347949.154,665.6566666666666
11663325271060.746,1026280455716.5922,-29782689823323.816,-10287730049049.725,15251498925776.87,22460749523562.12,3967467822311.68,915367403383.7416,676.4566666666667
