Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
11434242929324.78,1006123069486.9598,-29197720258710.125,-10085666167905.67,14951940580635.191,22019592108965.945,3889541759200.1147,897388366830.6174,-8437442211072.867,897.4691176470589
12388012607881.57,1090047252276.7021,-31633203042235.086,-10926946398410.977,16199133481221.613,23856322400069.375,4213981878103.7773,972242663040.5059,-9141238489934.447,907.4220588235294
10500010719803.111,923918013669.2227,-26812127187361.21,-9261619115080.176,13730295696427.854,20220486357317.797,3571747636333.8804,824067454393.7562,-7748062914633.867,923.404411764706
9228820821156.086,812063335792.9888,-23566101445408.562,-8140355808666.797,12068029450026.799,17772481434206.54,3139331934011.9346,724301257089.8568,-6810039192128.665,939.5720588235296
12315825094644.408,1083695356535.9244,-31448869519782.926,-10863272829342.941,16104737941671.793,23717306470513.363,4189426107724.485,966577128832.1483,-9087970403931.799,940.9073529411766
10369382371114.455,912423733588.0312,-26478563377405.38,-9146397308128.775,13559479990375.734,19968927708484.613,3527312305499.2124,813815432188.5204,-7651671009609.972,951.2279411764706
9703847266495.041,853861911498.7795,-24779097434770.04,-8559356732040.18,12689195826176.48,18687267804427.914,3300919834373.6772,761582553594.0662,-7160565999528.576,976.9205882352942
8904925475136.94,783563095390.0375,-22739023879714.254,-7854661295518.575,11644488998535.18,17148737167888.49,3029153719321.0723,698881136485.3347,-6571033596607.688,1017.0220588235294
11274017438813.2,992024488676.2054,-28788579167112.68,-9944337982705.717,14742422367300.281,21711036509846.094,3835038482543.5127,884813471889.6113,-8319210238140.342,1054.6279411764706
12775767210304.242,1124166623093.9973,-32623347193265.53,-11268968491383.52,16706179320614.06,24603044078287.15,4345882833095.531,1002674579365.7087,-9427366362005.748,1043.110294117647
10611244678460.758,933705738485.9193,-27096166772058.9,-9359733940773.324,13875750397831.46,20434696089458.184,3609585653103.2915,832797357331.528,-7830143509812.615,1062.9426470588237
10232103729617.598,900344326690.2582,-26128017719669.4,-9025309605279.625,13379968289693.291,19704562125550.227,3480614756730.4424,803041416247.9663,-7550371615341.594,1106.3764705882354
8728245624586.373,768016691548.7698,-22287865930035.57,-7698819437246.107,11413454461353.924,16808494371660.717,2969053215956.9585,685014816646.9681,-6440659663591.473,1120.9382352941177
11833910295534.363,1041290692994.8823,-30218284029271.387,-10438196038980.752,15474564216875.898,22789254878044.223,4025495027740.05,928755199754.5056,-8732360553341.994,1165.739705882353
10317482960307.178,907857027746.2153,-26346036370171.895,-9100619040851.428,13491614100013.531,19868981877868.97,3509657871700.727,809742184030.8173,-7613373776652.583,1128.2044117647058
