Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
-552.2593822804613,-2.7396515818029963,-41638.442578591326,27816984180189.277,577.2925432527795,16148.822188091033,1112.1939605619996,-41658.04438119744,-551.8967818016355,440063.06099012215
-562.7074377735802,-2.710247902807858,-41641.02434525152,30137294996749.04,578.8968810604072,16122.155331888824,1123.892722300357,-41652.69212900701,-555.4166239055347,562239.7108070138
-566.8562022627626,-2.6609211938072783,-41646.373663269536,25544203829397.45,589.6769695008204,16106.78127281687,1134.4804366351439,-41648.70118305796,-559.5514774222837,398254.6772368365
-567.4179492943209,-2.576572697394918,-41646.85688652249,22451679967332.67,598.8929887380189,16086.144748089237,1143.672843827028,-41646.6358390628,-563.3294046726468,364471.8682028712
-581.0627828604822,-2.567788996483885,-41654.73488985852,29961678462954.703,609.4735645474777,16095.226030337772,1148.274264037632,-41662.493414414865,-568.6997721884244,381794.00180165144
-601.2316794588468,-2.546342719208334,-41683.791433529004,25226414005431.91,621.1038696583336,16090.666877103315,1180.9240484955171,-41662.33705325432,-581.4219055961996,449350.5405461947
-583.7161178130625,-2.522715312077157,-41664.889899734975,23607314340536.887,617.9903743807815,16059.116486667494,1186.9685490569868,-41662.131912170706,-586.0454735392311,418458.3126563855
-598.6469841728787,-2.552644899976762,-41693.10354829946,21663714235550.4,643.4492843252093,16015.10235023373,1244.861623386581,-41663.81651262849,-605.1648238753098,371080.63747540483
-630.1035366663688,-2.609571377098872,-41722.650636787344,27427191028191.883,667.2022697554228,15970.544863578707,1296.6219723032184,-41666.48568046417,-635.6746980868775,450719.5300625191
-667.6990379025879,-2.6179435043338577,-41730.64395476328,31080616029328.727,674.0012575322995,15970.863948420987,1283.2553581857276,-41668.85658606853,-617.6673103499245,461551.8721899249
-648.7206276819536,-2.623860308166809,-41732.04511915773,25814811393578.082,678.9973100661492,15961.562070048243,1304.324990249162,-41672.06128058312,-640.9096166605394,351096.212804974
-646.2433763541237,-2.6351631377418343,-41744.19708573485,24892445316685.19,702.1480968212807,15919.617742410086,1349.3139902946787,-41675.307616495455,-669.1168588561399,340090.5611038116
-697.1996344562824,-2.6715921876394924,-41782.13468706946,21233891128369.453,720.1939227715367,15889.051259086635,1394.750704005622,-41679.30697531031,-689.3930163735313,267016.5132063616
-691.1428702743777,-2.7129515895131338,-41790.0611957699,28789286266167.836,742.3160297230323,15857.829370170606,1429.2004950807582,-41683.71199455485,-690.9003434523462,266749.60539914743
-761.0616141945164,-2.750748533105385,-41814.672634630544,25100154056216.098,752.352064177364,15883.880229232725,1402.3023486067957,-41686.17249780402,-692.9796677529336,319974.26088930614
-734.0959262886066,-2.7556043710903486,-41794.92820573052,26973576649243.207,730.0093950971528,15929.451379869133,1360.9560099086366,-41686.78714313865,-662.7809600300101,299993.6036292691
-674.3083971605021,-2.616592693336833,-41739.871871542695,23224744870828.953,686.1404113716443,15946.682354930115,1324.1885776104332,-41693.07028094104,-649.3651083916692,309228.1834833905
-680.8826129091111,-2.6406387695437625,-41737.484126340125,15838356734699.586,679.3222044881159,15988.789336220783,1288.5605637780009,-41697.583659339274,-635.1814076828208,138207.26708756958
-648.4488146021675,-2.6329091695371174,-41710.38518596143,17973944984055.074,663.1086000386414,16021.415962428697,1258.29797540535,-41703.20996129196,-608.1346334507529,313233.1405234596
-648.8474737858539,-2.708257713743996,-41724.83886935896,32923160652095.387,681.5452144908126,16052.527183689303,1245.0270907428949,-41707.00143343653,-605.739566683747,493902.1009862032
-620.1193022804408,-2.727383833403372,-41707.42910431931,27666803074019.21,661.2260427823437,16044.959295834464,1262.5807245237604,-41711.39890231774,-608.2655064150943,457000.16175813624
-650.320206472696,-2.8030555559754813,-41740.41458250671,22965738287043.695,684.1910448398435,16009.21785846283,1311.7840170601864,-41716.297898363,-644.851363915218,409280.9996774227
-676.1514179688313,-2.8713016421921598,-41738.78644961466,24894643824882.35,678.406093737725,16007.092298529118,1299.865608388668,-41720.174895532175,-645.1002971061336,415829.87606812874
-661.4656409785999,-2.9040126187659365,-41743.309346046655,24095230475483.375,688.5931354586045,16014.403208204103,1311.4003670835991,-41724.03674621492,-618.4781736115092,428804.7149728816
-672.4046073673327,-2.9395495686283963,-41743.5253321976,20858063291014.1,687.1251617886477,16006.5186796173,1313.5642554534534,-41727.89438699811,-650.3443676353437,402344.53310785384
-669.2294279093845,-3.137803658843629,-41730.91393745196,26697817386373.54,680.0241594786751,16043.527975367608,1264.8240518677744,-41729.71992757134,-611.843921034503,332110.69172839087
-651.5857388859231,-3.1882801718055878,-41708.241797972005,17720467734256.934,655.9664139287013,16119.409763966723,1200.508318173453,-41729.78943667373,-590.9289570198359,281968.4181130187
-609.6701485526564,-3.1869248415350406,-41687.30761485069,16517164692159.027,645.8278775722281,16124.474026866124,1192.0899833818492,-41728.23694469428,-587.0604254095442,270955.77306500485
-618.4049579671224,-3.185968865285637,-41680.28440416288,22380636258886.676,634.9041034297056,16166.925047379666,1146.149729076636,-41724.28641156228,-568.428874304193,413742.55073893146
-590.4309075988942,-3.2516971825117653,-41641.589020908854,24098301211018.652,585.9027030326766,16186.863297421824,1107.7016316615313,-41719.980233437665,-543.5337248215442,428669.40156945505
-557.0711144295674,-3.332441888169295,-41619.82933139707,20212739677996.535,583.4051343635292,16197.9009889532,1084.3668905998782,-41715.24290668717,-535.5715234944709,296652.1341559637
-573.9288335105354,-3.3678159386580924,-41627.12435516467,18910352411772.305,571.9807482525114,16200.6963605136,1077.8151886619185,-41707.94628132735,-536.6862316802612,438014.9780139057
-536.3602390236287,-3.394448502748895,-41617.880880060824,16309988430975.977,572.3166250211362,16204.962635738573,1081.1389958779719,-41700.65079996197,-516.0860949364578,323857.32072849723
-600.9104092112767,-3.439075133689061,-46111.198740845364,25902317640311.348,660.1044401233738,17818.90902793953,1259.4440808999748,-46185.10591614543,-610.4744224062464,392381.4661216513
-662.8308808968745,-3.440894845624315,-46152.97076750259,18651427645963.785,687.8272998183178,17806.121325348122,1277.9404393179655,-46177.86564242658,-626.2619728184262,257914.47846237593
-628.5780887155684,-3.4490604319527813,-46130.21931107456,20149276232959.875,679.7037800214456,17770.241420201153,1291.1811957427553,-46173.39537278963,-631.5123887034835,227386.38828186106
-667.8006246091745,-3.4595449156154476,-46151.46368447593,18089449286541.973,690.1029640719361,17754.20321663716,1301.6135708853676,-46168.892223227056,-640.365075305412,246166.706752905
-666.9094437856976,-3.456638857130215,-46136.92391168321,18228867839027.17,671.3271781471426,17760.84299273194,1282.1337189189353,-46165.24317381472,-629.422387121423,278067.7565504007
-671.9026573198191,-3.4423129473371072,-47733.10781712532,21193384642849.934,711.8770358292636,18338.37623414747,1352.6613275040318,-47743.53575725131,-674.222671739635,487123.72796498257
-678.8113545320136,-3.4151442687898883,-46138.0358132693,26437212775883.293,664.7874957774695,17768.890801073096,1267.2103815678834,-46159.288691888025,-621.4482272390998,605547.3943965076
-647.7743642886828,-3.4065609763230196,-46109.97896820988,35565263146348.1,645.5470345629675,17808.173107146547,1216.244629837169,-46153.87289101425,-600.6809757869834,794809.1311120178
-633.3737866385535,-3.3582546066922268,-46100.496688079256,31520870771498.35,636.9909933468796,17858.993101080145,1171.9882499346022,-46146.312063951016,-582.8189821171751,780375.6832579798
-602.8234607834619,-3.3681462858496594,-46048.42193898302,16287977346349.635,569.0955027463355,17893.141199525417,1101.2518092927362,-46137.27392212185,-547.9081765345492,499719.22074020316
-527.047160247188,-3.342332930944532,-46014.511015050564,30963084816742.418,585.3995895296647,17932.13631111326,1060.661178070724,-46128.125471772466,-523.0501229783898,730959.7297784016
-568.5387221759879,-3.295234313123293,-46051.70267099496,30500931769831.684,591.2837478299273,17900.79734254857,1112.2861878687122,-46119.733985767794,-526.950076302731,584025.3194322598
-559.7358222122424,-3.1462530749808617,-46084.47783724385,18773973951788.37,621.3071650975812,17811.941246735463,1213.9919919037104,-46115.45643190948,-597.2654049632985,564807.2234490634
-614.5826498336535,-3.1306186418575583,-46136.49035304237,30748191967155.68,663.758571921686,17734.33655615952,1298.6535478010574,-46113.97584989543,-646.8705293613343,920755.9441454649
-651.6784664995392,-3.1004529474371023,-46134.69492240289,34919881542408.844,681.9421042964265,17707.724958262712,1288.5026746085055,-46113.59384116954,-611.514755699947,314808.68037199444
-676.2602042137827,-3.0625218898021376,-46146.894723201,34568187720866.523,672.5199830202788,17707.86173654157,1286.7325521767714,-46113.41720232615,-636.331320390954,816977.1909218855
-666.7961791838311,-3.0312535463514685,-46115.13188526183,13181575459732.887,636.6352263281964,17774.210155333,1210.8259766039184,-46112.20023018906,-600.0845733504152,236718.32958217085
-613.1579222043143,-3.0350920118857654,-46056.363944994846,15931650618983.896,576.1434237141275,17831.826571402158,1127.605951326297,-46108.71091290757,-560.3050494421358,619722.4746852329
-588.6631036625656,-2.9920087230384533,-46054.76869812973,18206428803881.473,585.5613961037599,17924.306431362278,1071.5231704119913,-46105.184774258254,-534.4025137057605,379659.5868936716
-576.2172738940993,-2.9301860949407748,-46052.43287502164,25812980316420.242,573.0763593577242,17975.300970212207,1040.920153698156,-46099.99882169743,-506.69002622710445,563852.6407039632
-505.4968064653168,-2.8590061920264116,-45979.7464577176,27992504776638.0,539.1322443331528,17972.594626176404,987.2601150644343,-46093.82398203569,-482.9635814679812,575524.6162446612
