Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
-473.9058890581283,2.4028333899275056,35522.60900239674,24397108267819.312,506.3190545460003,-16075.919703112737,1001.833399524203,35505.41708422818,-484.0454983088661,385976.09993987327,-24397108694021.426,24397108672094.754,385467.59984431654
-486.1899371298372,2.37704465746769,35520.34464324344,26432155306433.184,507.72615188585763,-16089.971189249567,1007.2588714805995,35510.11131993315,-487.1326040527855,493128.9383591646,-26432155817795.01,26432155795870.52,492627.37084678235
-493.4163010381465,2.3337822717727073,35515.65298097792,22403748113730.266,517.180914901361,-16096.54107352084,1022.4834560011577,35513.611611082386,-490.7591104883101,349300.87543859397,-22403748500574.746,22403748478636.875,348798.2161214189
-510.37066009800435,2.2598037465777567,35515.2291661488,19691425322703.65,525.2638984794338,-16111.165607047067,1029.4023936224362,35515.42303759597,-494.07257187959954,319654.7822292652,-19691425678494.902,19691425656542.37,319165.3399949297
-516.0526684547533,2.2520999312545404,35508.31970014681,26278129620775.67,534.5436773420057,-16131.032230514636,1044.4640341840718,35501.51502396668,-498.78269577593824,334853.5683082971,-26278130030311.312,26278130008358.832,334358.18849241995
-499.82104210727846,2.233290301785736,35482.83542550726,22125027895976.996,544.7441297064694,-16134.794216059578,1076.4530637709852,35501.65216177644,-509.9407449039214,394138.45567041566,-22125028334917.445,22125028312967.625,393590.20190442353
-526.4496167854446,2.2125676948859057,35499.41316729852,20704983702003.89,542.0134137052178,-16162.14734295243,1067.4577545588672,35501.83208240892,-513.9958822461681,367002.14728170214,-20704984065352.562,20704984043375.383,366493.0446948372
-541.4016113136381,2.238817679967809,35474.66816057113,19000333627668.96,564.3423548347936,-16203.65277898603,1111.5444500142298,35500.354590068084,-530.7646617823665,325447.3730696175,-19000333998985.652,19000333976976.55,324911.7086910171
-557.5889297471599,2.2887455032386534,35448.753649665654,24055237055950.348,585.1751011888454,-16247.314454440762,1158.1796532015069,35498.01357501293,-557.5235916276706,395306.80422071426,-24055237483169.3,24055237461146.85,394734.65371979674
-565.6677393913094,2.2960883445687563,35441.74304603399,27259502725385.523,591.1382079417256,-16251.178756384981,1169.2559895461486,35495.93415323961,-541.7300678062048,404832.30606332055,-27259503165442.5,27259503143454.402,404277.0172922369
-569.7397330051689,2.301277724819113,35440.514143565466,22641086738501.6,595.5200358814176,-16264.94807069282,1173.323969762005,35493.12345021615,-562.1149189431201,307935.5774401725,-22641087080082.598,22641087058063.418,307362.74690909724
