Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14
-1417.1315031594156,-2.3154281908345133,35190.90690556549,-23509642532679.98,-487.9012491531328,-12623.747742955728,20.48890395326947,-35207.4734524384,466.437913310628,-371911.7040260371,23509642123837.05,-23509642144981.688,372406.33783527836,-374070.8305327636
-1433.3326902252534,-2.2905775464271003,35193.08889664307,-25470663091567.395,-489.2571620772712,-12618.296659247551,14.96562785019728,-35202.94997372727,469.41272284071107,-475184.5372516633,25470662600689.125,-25470662621825.273,475672.44095531275,-456123.3984245269
-1449.3381864925707,-2.248888868443505,35197.60989552589,-21588792549113.76,-498.3679996890361,-12608.404493271635,15.059373797946932,-35199.57700877804,472.9073118830707,-336595.3690844061,21588792178240.863,-21588792199384.375,337084.2415001231,-336107.51767571695
-1466.4926120568164,-2.177601377820646,35198.01829371411,-18975132849223.438,-506.1569575590143,-12592.496060177195,8.107168124964176,-35197.831474513056,476.1002431727698,-308054.11082217144,18975132508297.383,-18975132529442.21,308530.10436319734,-306156.76201419946
-1485.2841883884494,-2.170177795623424,35204.67642175232,-25322240030786.15,-515.099176221856,-12560.568926424005,17.53451433259761,-35211.233571791534,480.639032128185,-322701.9154656443,25322239638096.79,-25322239659249.8,323183.6157562443,-357920.1003438235
-1518.757524890212,-2.152052383135904,35229.23368326314,-21320211127244.637,-524.9285780700867,-12546.62621502115,39.0549331036828,-35211.101422491425,491.3911973069901,-379777.5119322229,21320210706243.0,-21320210727433.258,380310.12658520724,-386216.6658981056
-1512.4680380953816,-2.132083579470787,35213.25897155622,-19951822156618.234,-522.2971942891865,-12553.96064951949,1.9969743226126866,-35210.92804663179,495.2988254260695,-353671.85542203963,19951821808477.332,-19951821829633.617,354166.7031172099,-313371.7039375176
-1574.5659107915262,-2.157378698026409,35237.10385668191,-18309180258371.086,-543.8139003494697,-12514.60281881666,0.7581664850198422,-35212.3517938762,511.4576257102516,-313625.1210507954,18309179902611.35,-18309179923802.363,314145.61491916777,-320965.94438004185
-1640.1080962379208,-2.205490352372866,35262.07570423228,-23180207191658.914,-563.8888370483191,-12471.023869142424,6.956382472635028,-35214.607652429106,537.2431757113898,-380922.8829921847,23180206782124.168,-23180206803339.24,381478.6319910716,-374749.29234700196
-1661.4042053980534,-2.212566091326643,35268.83129092904,-26267914875661.703,-569.6350304957937,-12441.658996825698,31.764406658869916,-35216.61143338819,522.0241553489578,-390147.88000415644,26267914453765.043,-26267914474974.668,390687.3947850891,-387129.2800921604
-1667.6964767259853,-2.217566703260456,35270.01549097859,-21817497683200.016,-573.8574655516239,-12439.294375128753,16.325717573987504,-35219.31989459231,541.6674894170775,-296744.4070350681,21817497356224.36,-21817497377446.938,297300.83548011334,-292196.21363075357
-1711.1930495190984,-2.2271193377662595,35280.28577723455,-21037956068875.863,-593.4234514780358,-12408.272123750567,-1.1563547185321568,-35222.063549200895,565.5069601728469,-287416.11707304046,21037955747292.42,-21037955768532.67,287983.7183800853,-286786.7860652475
-1777.942948850119,-2.257907504282983,35312.3489024167,-17945913430420.3,-608.674958059985,-12364.670392552684,24.568863732073964,-35225.44362431946,582.6434409682159,-225668.69116799135,17945913170484.496,-17945913191751.312,226282.93000838,-225159.6058733007
-1811.7781199587905,-2.2928625787495176,35319.04802497001,-24331387777270.43,-627.3715508736009,-12336.715697551079,8.851721337043841,-35229.166545076136,583.9173648621439,-225455.88307729986,24331387515511.84,-24331387536794.234,226057.72794828267,-226942.1253818676
-1841.4151433281286,-2.3248068264422423,35339.84848723809,-21213501993726.586,-635.8535480932812,-12296.961692477471,73.1857288099618,-35231.24604986595,585.6747146417457,-270482.54064445035,21213501674614.08,-21213501695907.79,271118.971117143,-284342.6717818707
-1791.3464536303845,-2.3289107585755064,35323.16139914604,-22796833069167.453,-616.9705462581495,-12325.202035971368,74.75558669406371,-35231.76551998566,560.152148322414,-253607.36360211758,22796832778826.387,-22796832800114.13,254218.28714177676,-255557.64427781277
-1699.6298117263448,-2.2114244476651734,35276.63030405744,-19628491941428.363,-579.8944880119199,-12401.245270338168,12.767548359144143,-35237.0757406324,548.8136842294637,-261385.5008482951,19628491664258.867,-19628491685468.03,261936.97430787783,-242420.292605901
-1682.6384360448196,-2.2317470912809863,35274.612291040285,-13385854581109.787,-574.1320514546866,-12395.564455988093,38.8426898028365,-35240.89024158886,536.8262692275846,-116863.02141556516,13385854370614.01,-13385854391830.396,117413.48544206329,-175749.98451125727
-1623.9661578486312,-2.22521438694802,35251.7095062806,-15190756076441.074,-560.429054669728,-12439.541976312703,18.613675605705225,-35245.64533462256,513.9675729086706,-264792.32215880736,15190755836146.707,-15190755857331.74,265309.87834749505,-205528.49362829205
-1648.6173200034823,-2.2888955296720632,35263.92509830052,-27825149303138.996,-576.0108378167697,-12388.249692739184,54.26080428202454,-35248.84971343724,511.94337204017677,-417490.0680996306,27825148850567.125,-27825148871811.848,418017.7230636401,-417761.1729437507
-1604.563067108656,-2.3050600510786317,35249.211161303436,-23382716331692.344,-558.838003394798,-12453.294028111688,9.997402012019961,-35252.566252972225,514.0781807513129,-386259.0614205954,23382715906266.7,-23382715927466.836,386788.7959642624,-390622.43830761575
-1675.9481311796596,-2.369014329373086,35277.08897853777,-19409591425184.42,-578.2469725935431,-12396.358653746516,24.16866444687787,-35256.706660323776,544.9988738804336,-345908.32102201943,19409590982534.996,-19409591003774.586,346481.35255500424,-407856.53390073864
-1678.789283120872,-2.426692799507681,35275.71295509679,-21039814147430.74,-573.3577965561911,-12389.605372063515,31.489511363240126,-35259.98332097687,545.2092608258789,-351470.13555054885,21039813827480.633,-21039813848694.84,352036.5236051552,-285204.1084856796
-1681.1086444981224,-2.4543386205353332,35279.53550025999,-20364186553917.156,-581.9674182096894,-12386.377601575608,29.385951301354112,-35263.24718051252,522.7094598844892,-362463.13798134413,20364186154358.168,-20364186175593.875,363016.2298007634,-364748.1845159589
-1688.723878441825,-2.484372824911665,35279.71804187442,-17628280934678.918,-580.726754016696,-12378.115791389977,27.922215067675324,-35266.507482033645,549.6413093457373,-340062.83426300366,17628280567641.42,-17628280588865.785,340635.85039119254,-332273.4019855288
-1671.3525686882308,-2.6519281127744003,35269.05946794708,-22563773954938.965,-574.7253117015856,-12359.927588698883,47.79805764976868,-35268.05034541629,517.1024930920887,-280770.7443494027,22563773640105.74,-22563773661334.656,281296.95235988527,-280057.2010489538
-1590.1003568758429,-2.6945885524680584,35249.8980128018,-14976528700324.89,-554.3928056908492,-12419.89196466276,63.831863336950846,-35268.10909132992,499.4261222675991,-238370.30026288942,14976528425197.559,-14976528446405.09,238902.68506980344,-240349.63761361473
-1557.802557431756,-2.693443089323343,35232.205398867554,-13959552014600.416,-545.8241785524561,-12444.824543272232,35.56142693530717,-35266.796996128054,496.15661631760935,-229037.11774556033,13959551753616.92,-13959551774815.479,229545.4507132394,-226185.7680163116
-1525.8993882066625,-2.6926351419287404,35226.26970247289,-18915089956712.62,-536.59190435821,-12460.883444223307,62.516635535351156,-35263.45818624309,480.41008162872987,-349732.81396993704,18915089573019.934,-18915089594212.49,350239.49486707366,-348904.6713989235
-1442.624986577465,-2.7481857088885486,35193.56613467741,-20366781799246.523,-495.1781623250053,-12545.063113901837,29.604073060970336,-35259.81880147946,459.3698401213668,-362348.87628833775,20366781402184.19,-20366781423304.957,362819.7917433436,-362324.41889839235
-1409.8997613023007,-2.816427440421812,35175.175840504955,-17082882937627.559,-493.0673315377987,-12564.267940684069,12.544940407309014,-35255.81502962024,452.6405517927858,-250763.24080478612,17082882649199.943,-17082882670311.188,251205.11779768422,-253665.33315889887
