Feature_1,Feature_2,Feature_3
3061.3539358403773,-5.001896570194037,-73946.20737261887
3096.352499967076,-4.94821304266311,-73941.49373315886
3130.9283236530146,-4.858155205306075,-73931.72725933974
3167.986118290353,-4.704156624717097,-73930.84501841989
3208.580562796903,-4.688119854292593,-73916.46181796907
3280.891234189728,-4.648964488164826,-73863.41206993087
3267.304389841943,-4.605826941961146,-73897.92139136566
3401.4511267974285,-4.660470643392637,-73846.41055220469
3543.038429692443,-4.764403695522909,-73792.46519595997
3589.0432834763787,-4.779689038659259,-73777.87146074421
3602.6361431031632,-4.7904915950847275,-73775.31329625881
3696.5994796170253,-4.811127644157653,-73753.1269422177
3840.7957426867497,-4.877637685415748,-73683.86267545568
3913.88806616727,-4.953149276652798,-73669.39091673071
3977.9113540103817,-5.022156738686886,-73624.4567826086
3869.750622330341,-5.031022245353403,-73660.5050129206
3671.620031027404,-4.777222806479271,-73761.02366681465
3634.914464393672,-4.8211247343393495,-73765.38307317806
3508.1678573355557,-4.80701248005891,-73814.85874294439
3561.420453948888,-4.944579471183186,-73788.47004815818
3466.252390724403,-4.9794988284331305,-73820.2557849351
3620.461754052205,-5.11765585982652,-73760.03281669065
3626.5993437241295,-5.242255596100911,-73763.00536706264
3631.609736948084,-5.30197739525918,-73754.74772572576
3648.060522463701,-5.366858692141177,-73754.35339076916
3610.534204428779,-5.728819483236335,-73777.37854204845
3435.0093657860466,-5.820976565814557,-73818.77201611537
3365.238144677276,-5.818502082607729,-73856.99243051033
3296.3194222755237,-5.816756716753604,-73869.81500024308
3116.42615435089,-5.936759656792291,-73940.46278117487
3045.7315879157823,-6.084178645751438,-73980.19035714124
3055.1725683046275,-6.1487625304282405,-73966.87152689107
3001.8066839368153,-6.197386717484023,-73983.74772630478
3453.3793149268713,-6.278863425588646,-81901.08367674379
3598.0988181542584,-6.2821857498389795,-81824.81873916755
3560.7959788735525,-6.297094002596835,-81866.35702550664
3648.3208503714886,-6.316235963282957,-81827.57028373334
3577.3359241912194,-6.310930250663653,-81854.11615553191
3748.932683472404,-6.284774837495423,-84631.81472804444
3567.2409938599453,-6.235171843835695,-81852.08611026382
3441.9258449730896,-6.219500967496467,-81903.31066670206
3347.5700226439512,-6.131306006436574,-81920.62286244913
3123.6098233195426,-6.149365659123673,-82015.69791163725
2986.822267489464,-6.102237136568924,-82077.61050491607
3078.1352943552024,-6.016247218542231,-82009.70814187702
3271.5671730015733,-5.7442459359567035,-81949.86914894202
3520.1594719716313,-5.7157014969719055,-81854.90772169054
3572.2729306942406,-5.660626725982267,-81858.1857145628
