Feature_1,Feature_2,Feature_3,Feature_4,Close
-854.3459913717152,4.331769496890289,-64039.29409820007,-43982512416333.37,897.4691176470589
-876.4913739681206,4.285278198283745,-64035.211966683426,-47651245639185.12,907.4220588235294
-889.5188867714064,4.207285823322666,-64026.75395225068,-40388931293315.945,923.404411764706
-920.0837922378789,4.073919140385866,-64025.98990920183,-35499221843987.93,939.5720588235296
-930.3271784768154,4.060030889803586,-64013.533692223704,-47373571885496.77,940.9073529411766
-901.0651979368192,4.02612134804246,-63967.59126275826,-39886461275006.98,951.2279411764706
-949.0705436341439,3.9887631371731476,-63997.477211788144,-37326440197609.52,976.9205882352942
-976.0256351050733,4.036085970769631,-63952.86751650449,-34253338572740.477,1017.0220588235294
-1005.2077384172362,4.126094634207298,-63906.14946758037,-43366195324334.086,1054.6279411764706
-1019.7720196255837,4.13933212966894,-63893.510922147405,-49142767410012.82,1043.110294117647
-1027.1129105096493,4.14868741795921,-63891.295486716,-40816799583946.53,1062.9426470588237
-1070.0596545210851,4.166558760690107,-63872.08154049904,-39358410784188.24,1106.3764705882354
-1074.9680522894178,4.224158146026368,-63812.09692590863,-33573728925418.895,1120.9382352941177
-1113.202039858664,4.289553102317839,-63799.56401521537,-45519857547510.22,1165.739705882353
-1090.8196302709691,4.349315317490049,-63760.64991356855,-39686827146171.48,1128.2044117647058
-1059.5870553674952,4.356993071480673,-63791.86859678023,-42648968461133.59,1081.4485294117646
-1062.1043456852403,4.13719630994944,-63878.92030460669,-36721545018431.24,1074.4147058823528
-1037.8671058323775,4.175216494751379,-63882.69566126281,-25042640171880.492,1036.125
-1013.7956980503435,4.162994924039853,-63925.54284814971,-28419301566823.434,1036.654411764706
-1014.2072394198348,4.282131433075664,-63902.68956809214,-52056086144599.7,999.6691176470588
-986.8437900921177,4.31237248353794,-63930.21682361896,-43745055174878.43,1038.7911764705882
-1016.0837754534355,4.432019982436061,-63878.06220322797,-36312019032657.8,1064.8617647058825
-1026.547692299652,4.539926519354524,-63880.636507364135,-39361886937043.055,1048.0
-1016.5841657683791,4.591647114585297,-63873.48518019105,-38097903151335.25,1063.6808823529411
-1030.1479557570844,4.647835965915587,-63873.14367610103,-32979492537987.504,1064.8808823529412
-1037.5299428960504,4.961303206177906,-63893.08404203488,-42212954691748.625,1009.895588235294
-957.216573821954,5.041113580829307,-63928.93184212772,-28018518714500.906,979.154411764706
-962.9926235071182,5.038970615510956,-63962.031691936936,-26115929603396.59,967.129411764706
-925.5166013715545,5.037459084342386,-63973.13636306729,-35386891717638.42,927.6691176470588
-892.0900073948653,5.141384678944709,-64034.31913607522,-38102758420816.08,904.7220588235294
-899.6768969878394,5.269053268383548,-64068.72422609287,-31959146610907.883,910.6985294117648
-884.7841351505383,5.324984553188743,-64057.18978074753,-29899891108288.39,871.8838235294118
-867.7983584157971,5.367094334417417,-64071.80499815913,-25788354991258.555,886.4823529411765
-1010.9264462857045,5.437655233452751,-70928.41906153513,-40955158975036.34,1042.785
-1004.1624657855652,5.440532450653148,-70862.37168817606,-29490495665270.99,1035.4083333333333
-1043.8036817338643,5.453443376267491,-70898.3448993754,-31858802323901.535,1071.3
-1052.4218365026145,5.470020800499916,-70864.75459566968,-28601929886864.254,1062.71
-1036.92588583107,5.465425918586419,-70887.74399501285,-28822369703814.29,1047.26
-1067.302213577329,5.442774666336253,-73293.30152286448,-33509682047473.65,1101.5879310344828
-1024.6672781687582,5.3998172137231695,-70885.98592423985,-41800901755774.89,1031.045
-1004.8647100999282,5.386245836713834,-70930.34769141297,-56233616036595.44,993.19
-953.1357735924375,5.3098667599501885,-70945.34049272523,-49838870271265.266,953.7666666666668
-923.8553672667935,5.3255068779607395,-71027.67790058818,-25753551859155.49,887.1816666666667
-912.6296261836171,5.284692380185498,-71081.2957791818,-48956933370998.46,900.9383333333334
-874.0986844081899,5.2102229267050415,-71022.490607813,-48226205708332.61,926.3216666666668
-937.9714291805019,4.974662906124024,-70970.6685197944,-29684257385677.062,996.205
-988.7806585149544,4.949942696826414,-70888.42951141502,-48617157418211.86,1051.8266666666666
-1039.5898878494065,4.902246546041777,-70891.26833651582,-55213179008282.83,1073.8316666666667
-1044.0283605546674,4.8422722779489735,-70871.97875775462,-54657101937730.49,1036.246666666667
-985.0254062239014,4.7928326859667125,-70922.20021417392,-20841899992374.84,977.3433333333334
-953.9137855091448,4.7989018328709285,-71015.12048649411,-25190149510659.41,910.6983333333334
-861.4868225998852,4.7307811719467106,-71017.64279325612,-28786890328166.145,865.9449999999999
-793.0913095647261,4.633031014083617,-71021.33605387252,-40813903711116.95,829.9133333333334
-834.0002388595996,4.520485705664095,-71136.26337069164,-44260034430448.89,844.3366666666667
-821.5290883127903,4.480764241271134,-71077.57791869451,-41343449044410.414,831.6333333333333
-804.1976592745128,4.464507897166714,-71126.50542190495,-41002603133771.31,808.4783333333332
-793.3871640119733,4.5954385484494145,-71076.50700431506,-42313878865882.77,856.995
-820.8360279502264,4.606797682337333,-71062.5080377868,-63854891909225.14,840.6766666666666
