Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
-1874.6887662174786,3.0630235857881623,46553.194041475916,-31100332784445.707,645.4326848084762,-19318.3021379577,-13.773356231225762,-46575.10952303031
-1896.1209221776,3.0301492732773063,46556.080544353026,-33694518924696.42,647.2263890068405,-19298.172812527966,-10.444617783925082,-46569.12552316505
-1917.2942035443473,2.975000336061483,46562.061263713804,-28559287203633.24,659.2788942849522,-19297.40861572257,-15.142014950981434,-46564.663509946746
-1939.9873755079284,2.8806958501725157,46562.60152373476,-25101740493989.902,669.582717033113,-19296.212790384838,-26.929710961245746,-46562.3543851617
-1964.8462943661225,2.8708753740069675,46571.40939922792,-33498173930535.57,681.412160408633,-19315.94986280819,-31.388697929660225,-46580.08369338447
-2009.1273563337445,2.8468977070807466,46603.89560264713,-28203987246392.95,694.4152368221014,-19332.536169253366,-16.616679235455194,-46579.90887629246
-2000.807147367072,2.8204814628420594,46582.7630454259,-26393778982595.035,690.934243277986,-19308.471712184662,-21.12150644807184,-46579.679521588485
-2082.954911417146,2.853943759383095,46614.30686346764,-24220767984417.492,719.3981699123789,-19324.783884237644,-21.84962961267877,-46581.562962157754
-2169.659072954564,2.917589495665408,46647.341512665684,-30664530789519.18,745.9548149576386,-19326.629057857426,-15.514466935125483,-46584.547182519724
-2197.8311773200617,2.92694981847226,46656.27831384567,-34749184083275.26,753.5563143812819,-19313.14358236133,-16.59785199230066,-46587.197935569515
-2206.1550698777864,2.9335650062622656,46657.84486326249,-28861835773574.734,759.1420709237058,-19332.29939679379,-22.58368745175835,-46590.780892960385
-2263.695627124884,2.946201953896191,46671.43117492586,-27830599163722.215,785.0254373822436,-19345.739695184617,-32.59466471128712,-46594.41040684928
-2351.9974439591224,2.9869308698596386,46713.84670266961,-23740211394424.95,805.2012841496947,-19342.97777408088,-13.12586278186734,-46598.8818259375
-2396.757168119554,3.033172086908736,46722.70880880881,-32187399952035.797,829.9345516242273,-19359.694515891533,-26.141217832175926,-46603.806787173984
-2435.9632648372926,3.0754303545157353,46750.22523396706,-28062824600386.523,841.1551792564351,-19349.93934285865,-17.248824388763182,-46606.55771343599
-2369.7286141317472,3.0808593464267875,46728.150291368365,-30157374810961.56,816.1753158253675,-19364.814201063702,-27.389341266952897,-46607.24490781113
-2248.3989013497194,2.9254395658652097,46666.59543845041,-25966053499632.617,767.1283009683331,-19329.28295416663,-14.011357141973008,-46614.26966943021
