Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
582.1325024012974,-2.8878463312601927,-42692.862732133384,-29321674946560.023,-608.5197709700175,-14566.079919522634,-1191.4853889988174,-43911.434370987845,581.7502879367114
593.1457198939938,-2.856852132189163,-42690.14131112229,-31767497095162.816,-610.210891506159,-14545.871882260883,-1201.7563656811844,-43905.79260181005,585.4605272875384
597.5189016478074,-2.8048572155484437,-42684.50263483378,-26925954197945.355,-621.5741024560783,-14515.353431989683,-1224.3658658417305,-43901.58577540417,589.8190455888997
598.1110350106618,-2.715946093590577,-42683.99327280122,-23666147898435.117,-631.2886397059033,-14478.525677897762,-1252.465864244943,-43899.40871167869,593.8013305707545
612.4939524649908,-2.706687259869057,-42675.68912814913,-31582381259471.277,-642.4415458772265,-14432.361673361673,-1263.0137100624338,-43916.12406377211,599.4621949781003
633.753836179409,-2.684080898694973,-42645.06084183884,-26590974185833.664,-654.7009638882271,-14403.36670613541,-1260.6918681306686,-43915.959244637146,612.8725010664635
615.290813080154,-2.6591754247820982,-42664.98480785876,-24884293467592.84,-651.4190517011461,-14377.10597427191,-1300.3474388271584,-43915.74300694851,617.7461696053033
631.0293281256893,-2.6907239805130874,-42635.24501100299,-22835559051108.9,-678.2550990909804,-14273.487456437566,-1355.5645984389344,-43917.5187317465,637.8997344202081
664.1874458643817,-2.750729756138199,-42604.099645053575,-28910796885605.844,-703.2929441537368,-14170.81695155257,-1397.909755019487,-43920.332281685834,670.0599656314706
703.8165837584244,-2.759554753112626,-42595.673948098265,-32761844942761.266,-710.4597065399284,-14151.821463851653,-1381.302237475973,-43922.83143562818,651.0785123119517
683.8115828696837,-2.7657916119728068,-42594.196991143996,-27211199725396.477,-715.7260083122019,-14124.72773033442,-1411.0902693727053,-43926.2094802519,675.5780543175678
681.2003306921439,-2.777705840460071,-42581.38769366602,-26238940525640.5,-740.1290802358933,-14024.864506044734,-1481.700388196562,-43929.631418762896,705.3110982676031
734.9129429062208,-2.816105430684245,-42541.39795060575,-22382485953214.125,-759.1510509898204,-13946.169273392188,-1487.6593451570552,-43933.847113107964,726.6840449180372
728.528552884439,-2.859702068211893,-42533.04267681024,-30346571701342.7,-782.4697991926773,-13857.33442041093,-1553.8995622098832,-43938.49041109117,728.2729071673384
802.2293801930016,-2.899543544993366,-42507.099942379034,-26457884767138.91,-793.0487083765483,-13858.44942228487,-1494.8187758170207,-43941.084009243714,730.4647074286693
773.805049374358,-2.9046620476537823,-42527.912397853484,-28432645643697.06,-769.4974672762528,-13952.292328880272,-1445.7583368336843,-43941.73190231392,698.6324744959509
710.7834601348676,-2.758130873299626,-42585.94686973779,-24481030015116.113,-723.2554982064307,-14049.693291980491,-1430.5870658698664,-43948.35491108335,684.4909251865979
717.713291999852,-2.783477663167586,-42588.46377417521,-16695093450711.594,-716.0684771030348,-14098.93695249108,-1383.6916084650857,-43953.112429643545,669.539991889896
683.5250667263672,-2.775329949359902,-42617.02856543313,-18946201047250.996,-698.9778373892415,-14155.648429663757,-1374.7403425034495,-43959.043072634995,641.0301885786672
683.9452904032315,-2.854754288717109,-42601.793045394756,-34704057432466.195,-718.4117353929877,-14141.58161520596,-1369.148357734598,-43963.03963518898,638.5055665346957
653.6631387468803,-2.874914989025293,-42620.144549079305,-29163370119245.5,-696.9934478040489,-14167.170257748283,-1381.5179445791564,-43967.67497439042,641.1681407958196
685.4976869615649,-2.954679988290707,-42585.37480215198,-24208012691206.934,-721.200685461433,-14070.753008951848,-1412.257750304159,-43972.83896964081,679.733020746068
712.726174644669,-3.0266176795696826,-42587.09100490942,-26241257960807.63,-715.1028115829677,-14072.534792119792,-1390.9313022332124,-43976.92568348635,679.9954193689034
697.246006478528,-3.061098076390198,-42582.323453460696,-25398602103665.336,-725.8408964020146,-14050.623501834645,-1415.0310722193321,-43980.996431533335,651.9332372378053
708.7766894906689,-3.098557310610391,-42582.09578406735,-21986328361452.04,-724.2935162879413,-14037.274618346035,-1413.7619118215298,-43985.06274195654,685.5231550631929
705.4297564683703,-3.3075354707852704,-42595.38936135659,-28141969797276.05,-716.8084026313978,-14087.407491267404,-1374.002153436561,-43986.9870306807,644.9401209990782
686.8316752544204,-3.3607423872195374,-42619.28789475181,-18679012478956.02,-691.449312195832,-14217.965562384292,-1303.286303402915,-43987.06029970792,622.8938131768092
642.6487636132009,-3.35931374367397,-42641.35446129129,-17410619738183.377,-680.7623565202053,-14247.950616015672,-1317.1718211148395,-43985.423829473184,618.816022813849
651.8560611722656,-3.3583060562282565,-42648.75757537819,-23591261147613.156,-669.247687541664,-14324.055713692587,-1260.5234313676278,-43981.25960191682,599.176643535603
622.3688229909745,-3.427589785963139,-42689.54609071681,-25401838949605.44,-617.5956762775005,-14457.454717707422,-1198.268586339276,-43976.720491622094,572.9348518504254
587.2045134285744,-3.512702178922365,-42712.48281739524,-21306097742964.227,-614.9630077417734,-14484.341964930056,-1214.2797258363312,-43971.726910771424,564.5419547229699
604.9741095789543,-3.5499897021258287,-42704.79318716502,-19933260741213.414,-602.9206474151035,-14526.75590284248,-1167.909644497713,-43964.035592314765,565.7169603208137
565.3733338889976,-3.5780628896116116,-42714.536665439424,-17192236663151.395,-603.2746926157674,-14545.92508654778,-1191.6082918831894,-43956.34547973413,544.0025095803659
633.4151876038201,-3.6251034889685,-47285.61270769008,-27303439319359.35,-695.8111747933668,-15915.488447140397,-1399.3344637773848,-48683.37622371238,643.4965426931559
698.6850957099714,-3.627021633768765,-47241.581125450706,-19660330446261.496,-725.0336347564681,-15858.827942360724,-1389.2130928980664,-48675.74430510083,660.1380820188953
662.5794825388598,-3.6356289175116605,-47265.56326625027,-21239201552020.086,-716.4706930312732,-15847.557240851267,-1434.0084737954103,-48671.032227164884,665.6725063055319
703.9236655493606,-3.6466805336666104,-47243.16973044646,-19067953260718.18,-727.4323955002217,-15818.221557808245,-1422.14149607768,-48666.28549074417,675.0040573301154
702.9842784796105,-3.6436172790576125,-47258.495996675236,-19214913138633.55,-707.6409793728623,-15872.496200225618,-1392.6776293815697,-48662.43905493169,663.4694512013098
708.2475876834114,-3.6285164442241684,-48862.20101524299,-22339788034525.77,-750.3842823965883,-16354.680751882888,-1473.6863124480524,-50326.10551420201,710.6930976070954
715.5299939684079,-3.599878142482113,-47257.323949493235,-27867267839926.63,-700.7475488854575,-15907.31934616039,-1360.816095269302,-48656.16247987346,655.0639486498159
682.8141336732917,-3.590830557809223,-47286.89846094198,-37489077360388.09,-680.4663219954722,-16000.706496995721,-1325.6800450095666,-48650.45372450178,633.1733435397736
667.6345920077836,-3.5399111733001254,-47296.893661816815,-33225913516745.69,-671.4474626631006,-16088.252815838818,-1280.982407599229,-48642.483912996955,614.3451490237389
635.4317210203105,-3.550337918640493,-47351.78526705879,-17169034575190.348,-599.8793316123431,-16286.438410221097,-1173.0666006477938,-48632.95687499836,577.5459288262658
555.556486901622,-3.5231282534569988,-47387.530519454536,-32637955582999.21,-617.0653480804659,-16312.45746080486,-1236.1428562670412,-48623.31356161002,551.3432396809618
599.2924333592679,-3.4734819511366943,-47348.327071875334,-32150803807915.67,-623.2677955277375,-16284.709198334185,-1224.5583943998968,-48614.46815870061,555.4541514387163
590.0133620592512,-3.316441937416016,-47313.77901319627,-19789504926299.562,-654.9152560968761,-16136.76960361358,-1325.964528849824,-48609.95922103185,629.573015768953
647.826994632016,-3.299961797884276,-47258.953007610005,-32411438281500.156,-699.6629679110713,-15968.592994492385,-1395.0490569354445,-48608.39855055616,681.8614080068804
686.9294187414267,-3.2681643640278515,-47260.84555767721,-36808786008278.09,-718.8300939816014,-15903.01300028109,-1426.4684493682353,-48607.99587800286,644.5931502710889
712.8408454153835,-3.228181518632649,-47247.98583850308,-36438067961274.85,-708.8983061072818,-15923.393140373848,-1379.0195623974687,-48607.80968431341,670.7521063125871
702.8648871062204,-3.1952217906444744,-47281.46680944928,-13894599997558.78,-671.0724512979651,-16071.547826704467,-1290.317238606598,-48606.52688304602,632.5446801725637
646.3251998473213,-3.1992678885806187,-47343.41365766274,-16793433009583.12,-607.3084926213701,-16267.164905914822,-1198.9614087423047,-48602.84881968319,590.6133802434683
620.5053940258381,-3.15385411463114,-47345.09519550408,-19191260221127.676,-617.2359071853091,-16352.226161494322,-1163.0628718177138,-48599.131943190725,563.3097102098508
607.3863375461447,-3.088687342722411,-47347.55736924835,-27209269142998.773,-604.0755229225191,-16443.23284163834,-1109.4080387513711,-48593.665469214124,534.0981835227009
532.8404194572433,-3.0136571371093965,-47424.175580461095,-29506689622454.703,-568.2952840437232,-16524.958287312507,-1134.5213362808704,-48587.156616708315,509.0883147837027
560.0778338385949,-2.9871761608474228,-47385.05194579634,-27562299365157.33,-576.7959060959947,-16509.31383053562,-1108.2919699422448,-48580.47162912692,531.125425791495
554.9654340036855,-2.9763385981111425,-47417.670281269966,-27335068757976.246,-548.283015742144,-16593.14922015624,-1074.03910971387,-48571.851615701264,507.13235171598393
531.793230286611,-3.0636256989662765,-47384.338002876706,-28209252579436.152,-567.759553522101,-16528.068746163564,-1127.6375270763028,-48565.103707116774,546.2494264151698
577.1475202505941,-3.0711984548915545,-47375.00535852453,-42569927941719.664,-578.5889633520366,-16507.173805698898,-1114.1406165797266,-48558.328574675164,541.6793170674534
554.6389663837745,-3.0421114030055025,-47396.370073061305,-30179022657584.312,-565.402339226963,-16554.89761443132,-1106.2721565429692,-48550.571798052246,532.6976308733169
570.4948404996409,-3.1048204135121145,-47401.43873979241,-30717107693881.496,-552.7700321926293,-16644.036114593353,-1037.7430388756834,-48542.26414832052,502.56005571307725
503.64638601161585,-3.075196362463298,-47461.97738206332,-29154395052192.66,-517.4489909037954,-16758.25959664631,-1025.763667081172,-48534.56455273084,460.17393150440046
479.0502324346214,-3.09347639119152,-47439.922777814005,-26071711234914.094,-539.3057028583883,-16690.463205675405,-1088.8963384043286,-48529.8270549283,496.026330004476
515.2424371512689,-3.06646456201837,-47407.263989219355,-33143741062556.02,-568.1706446978765,-16575.158478808014,-1139.3875187413528,-48528.62843988574,531.8164088316282
580.4675188260189,-3.081546522751749,-47381.87145582205,-34038155851839.906,-578.4205909023839,-16591.735189767445,-1073.9120650473137,-48525.02144281659,512.8898148320304
510.1081707644563,-3.0501483003134977,-47437.51199046671,-26248965287516.39,-534.8613261841139,-16689.899736950978,-1074.5280458144198,-48521.05616229451,488.5818624091169
543.4198945989283,-2.860444712594684,-47409.26587204607,-29963640971155.465,-540.416523695058,-16692.979761369228,-1040.7593110451762,-48514.20274759708,506.6829940743783
530.3635951231962,-2.804550222325223,-47441.59884901737,-22424524397686.227,-508.882769195815,-16806.513876284003,-981.9118278984403,-48503.824444732905,472.91338464305863
494.3990212118586,-2.8061940157657537,-47458.003136254956,-22894185353083.36,-497.9866663825754,-16897.88599292742,-952.823409898504,-48491.95353103583,460.0613187621003
464.04518585329856,-2.8198627992818253,-47487.48362153051,-31954846902992.71,-487.9531990419071,-16940.920130213162,-964.9514742459558,-48481.675158313854,427.07453188890617
476.0899386380001,-2.8288887965856273,-47467.728285213794,-23937037708405.9,-490.9303300834937,-16917.614753150356,-969.4236214411469,-48473.54883696378,461.9057624151141
480.9126066601957,-2.7877705025502344,-47453.272307750754,-24478920436991.582,-505.53500009947345,-16893.0137981084,-981.2632659689987,-48467.49464473841,469.1960708195573
479.76439401977166,-2.7719723484538745,-47471.91463657562,-19063378140124.418,-481.91584406150287,-16950.532997130136,-949.6346106344969,-48462.53853608323,458.19391522958836
476.71991399832405,-2.7561185949176124,-47481.82783788082,-30301649682484.395,-476.5530722073046,-16996.83788127513,-925.1184886374674,-48458.07519017518,440.3365956180449
461.1745449194794,-2.744224140624898,-47501.30437566077,-16419461900034.428,-452.8366100133658,-17083.874661657435,-877.3820565091769,-48452.04466849224,423.74753601687246
434.61127633329573,-2.7549367950953054,-47518.58223164689,-21546301307687.07,-444.4475073757994,-17128.859682182123,-877.3271714639006,-48446.263534833764,408.8268943258951
422.3950897816752,-2.769627378556545,-47523.03863492471,-21425398871787.43,-440.8089131391486,-17139.80735006417,-879.073652964389,-48441.35668058674,409.5441172283118
429.09521995025773,-2.661452172863853,-47509.22444076002,-23772300352949.426,-452.7644503920861,-17118.20668587251,-891.0530247589008,-48434.97596607508,426.5202147981664
435.97203185821616,-2.681483259802741,-47510.736512824114,-23029849753109.324,-449.10070962074695,-17129.739191486937,-884.4036249907329,-48429.235340203995,418.93470794303335
433.3316457159351,-2.7246410252355,-47509.44857291703,-28198595936873.53,-454.8876925818625,-17115.206108436632,-900.530207019158,-48424.21374122587,421.73362658661085
437.94680016057157,-2.6177618138885492,-47498.98542783147,-25646302868778.25,-466.3053126579874,-17068.58176091067,-932.2288353197494,-48421.69843176047,437.2621584204902
452.6409043738346,-2.6656379506035996,-47466.562797997365,-30713503740991.324,-499.4112722390525,-16962.24658927549,-990.5733877727173,-48421.069003063945,470.7551559702376
487.91711923126724,-2.635747303507304,-47465.69250923163,-22368302806743.305,-489.412791381429,-16970.090710910627,-959.6956298305629,-48418.21629270269,464.8533736116316
461.4708366977643,-2.5793712531346467,-47467.087595243036,-32965995964265.266,-504.9128966978346,-16933.751741977172,-1011.6612717624026,-48415.12633025328,473.3419690603565
476.54192026583405,-2.5697082975187175,-47441.19978444514,-36146079382304.76,-537.828617277344,-16825.340152634115,-1072.143498329403,-48414.82446250426,495.92465053812725
512.7874793691248,-2.5632760147803326,-47427.99894706133,-26479990453690.086,-530.6859080982457,-16816.893413282214,-1051.1422058852536,-48414.459509753,502.9995734063266
515.9314522017306,-2.5496957936154376,-47426.98761903582,-31995756191426.086,-537.3125666524345,-16796.22549938081,-1062.3000513247716,-48414.74782023984,509.7038582197708
519.4954814963922,-2.48087184446766,-47420.60149255256,-23651169486416.715,-538.3413879194683,-16782.00518765793,-1066.855072751675,-48416.95000068199,516.1424644275942
529.1510948201775,-2.4116884035611834,-47414.42091165719,-33729900088696.668,-541.2704125468682,-16773.834289012495,-1061.7422355857275,-48419.85508143505,516.0888913754319
529.8680990570751,-2.4406093112257934,-47420.34784055049,-18129306791633.383,-532.9523762029864,-16796.34409781328,-1044.331212298523,-48422.013310107875,510.1882023444211
521.9539379268409,-2.4046809244152274,-47433.34969231198,-25887656352129.664,-522.4520579791902,-16827.739558947043,-1031.955399918011,-48423.77329420416,495.5397992246354
506.9703205663832,-2.3711554983855128,-47431.77092726459,-27644424245990.28,-531.7945422797252,-16802.375029671417,-1057.2939229321103,-48425.818308804504,505.43769394350534
505.9961656791065,-2.335111470094654,-47430.558426961565,-32219113875014.75,-538.689066094725,-16770.793078309256,-1081.1973441448192,-48428.896080651226,509.37367328603625
520.1558513638615,-2.2963055440150533,-47415.13157459404,-29527010658381.727,-550.4904441567468,-16714.110704595645,-1104.855859976215,-48433.27310834564,526.0447324568447
533.1015060869644,-2.2516476740498574,-47400.917222529526,-33808598154696.145,-563.8356007831167,-16660.14787658345,-1126.392664276468,-48439.32571524599,537.9991763821871
